node,core_number
DST-00175,10
RET-00066,10
DST-00192,10
SUP-00044,10
DST-00084,10
MFG-00097,10
DST-00162,10
DST-00156,10
RET-00072,10
RET-00139,10
SUP-00093,10
WHS-00086,10
MFG-00103,10
SUP-00130,10
RET-00038,10
RET-00057,10
MFG-00116,10
MFG-00139,10
SUP-00203,10
MFG-00096,10
WHS-00031,10
RET-00033,10
MFG-00117,10
MFG-00145,10
MFG-00127,10
SUP-00101,10
LOG-00007,10
DST-00148,10
RET-00027,10
DST-00048,10
MFG-00030,10
SUP-00123,10
MFG-00101,10
SUP-00294,10
SUP-00280,10
DST-00160,10
RET-00109,10
DST-00159,10
RET-00004,10
SUP-00187,10
MFG-00026,10
DST-00014,10
MFG-00049,10
WHS-00010,10
RET-00134,10
SUP-00223,10
MFG-00025,10
SUP-00016,10
MFG-00036,10
DST-00089,10
SUP-00258,10
RET-00107,10
MFG-00084,10
WHS-00035,10
RET-00111,10
LOG-00095,10
DST-00173,10
DST-00109,10
DST-00181,10
DST-00102,10
MFG-00132,10
MFG-00041,10
RET-00012,10
WHS-00017,10
MFG-00057,10
SUP-00117,10
SUP-00127,10
DST-00142,10
DST-00063,10
SUP-00272,10
MFG-00147,10
WHS-00081,10
SUP-00154,10
MFG-00135,10
WHS-00090,10
RET-00082,10
WHS-00071,10
SUP-00147,10
DST-00039,10
DST-00101,10
DST-00191,10
SUP-00151,10
MFG-00115,10
DST-00161,10
WHS-00026,10
MFG-00144,10
WHS-00087,10
MFG-00050,10
SUP-00047,10
SUP-00269,10
MFG-00070,10
RET-00063,10
RET-00014,10
WHS-00044,10
DST-00024,10
RET-00042,10
WHS-00083,10
DST-00174,10
DST-00122,10
WHS-00097,10
MFG-00004,10
WHS-00002,10
DST-00003,10
SUP-00009,10
WHS-00009,10
MFG-00021,10
DST-00176,10
MFG-00100,10
DST-00021,10
RET-00078,10
MFG-00054,10
SUP-00051,10
LOG-00037,10
RET-00117,10
MFG-00042,10
MFG-00005,10
DST-00120,10
DST-00153,10
RET-00009,10
WHS-00018,10
SUP-00176,10
SUP-00039,10
DST-00171,10
DST-00088,10
MFG-00108,10
RET-00096,10
MFG-00104,10
SUP-00054,10
SUP-00120,10
WHS-00023,10
DST-00137,10
MFG-00120,10
MFG-00122,10
SUP-00104,10
WHS-00039,10
WHS-00074,10
WHS-00063,10
MFG-00002,10
DST-00157,10
DST-00167,10
RET-00115,10
WHS-00008,10
MFG-00023,10
SUP-00128,10
SUP-00018,10
WHS-00094,10
RET-00103,10
DST-00066,10
RET-00091,10
RET-00122,10
DST-00062,10
DST-00068,10
RET-00130,10
WHS-00036,10
RET-00144,10
LOG-00052,10
RET-00059,10
SUP-00163,10
RET-00119,10
DST-00130,10
SUP-00195,10
WHS-00055,10
RET-00001,10
DST-00020,10
MFG-00075,10
RET-00116,10
MFG-00065,10
RET-00102,10
MFG-00138,10
RET-00105,10
WHS-00069,10
DST-00177,10
RET-00011,10
SUP-00107,10
WHS-00051,10
DST-00165,10
DST-00017,10
SUP-00215,10
MFG-00031,10
DST-00009,10
SUP-00088,10
MFG-00073,10
MFG-00072,10
DST-00100,10
MFG-00020,10
DST-00187,10
RET-00010,10
RET-00089,9
SUP-00281,9
RET-00022,9
RET-00106,9
LOG-00020,9
SUP-00077,9
SUP-00166,9
SUP-00015,9
SUP-00152,9
LOG-00041,9
LOG-00059,9
SUP-00230,9
RET-00005,9
DST-00054,9
LOG-00080,9
RET-00073,9
SUP-00034,9
SUP-00110,9
MFG-00032,9
SUP-00079,9
LOG-00058,9
SUP-00254,9
SUP-00017,9
SUP-00112,9
SUP-00227,9
SUP-00053,9
SUP-00252,9
DST-00146,9
SUP-00251,9
SUP-00135,9
SUP-00085,9
SUP-00008,9
LOG-00045,9
DST-00163,9
RET-00016,9
SUP-00045,9
MFG-00090,9
MFG-00126,9
SUP-00148,9
SUP-00076,9
DST-00038,9
SUP-00145,9
SUP-00182,9
MFG-00027,9
SUP-00001,9
SUP-00171,9
SUP-00239,9
SUP-00221,9
RET-00074,9
RET-00141,9
LOG-00025,9
SUP-00086,9
SUP-00052,9
LOG-00083,9
LOG-00084,9
SUP-00204,9
SUP-00124,9
SUP-00144,9
RET-00150,9
SUP-00025,9
DST-00183,9
RET-00061,9
SUP-00238,9
LOG-00100,9
SUP-00266,9
RET-00110,9
SUP-00087,9
DST-00008,9
SUP-00224,9
LOG-00036,9
DST-00199,9
DST-00144,9
SUP-00012,9
MFG-00037,9
RET-00084,9
DST-00085,9
SUP-00219,9
SUP-00064,9
SUP-00274,9
DST-00197,9
RET-00070,9
RET-00025,9
SUP-00168,9
SUP-00179,9
RET-00083,9
DST-00188,9
RET-00081,9
SUP-00021,9
SUP-00072,9
SUP-00271,9
DST-00031,9
RET-00028,9
RET-00075,9
RET-00002,9
SUP-00297,9
DST-00113,9
RET-00007,9
SUP-00097,8
RET-00034,8
SUP-00276,8
RET-00053,8
SUP-00190,8
SUP-00100,8
LOG-00012,8
SUP-00211,8
SUP-00102,8
SUP-00014,8
SUP-00115,8
DST-00123,8
DST-00096,8
LOG-00038,8
SUP-00233,8
RET-00087,8
SUP-00040,8
SUP-00043,8
SUP-00114,8
RET-00021,8
SUP-00178,8
SUP-00062,8
RET-00132,8
SUP-00240,8
LOG-00049,8
RET-00147,8
SUP-00260,8
SUP-00111,8
SUP-00287,8
LOG-00099,8
LOG-00017,8
SUP-00207,8
DST-00104,8
SUP-00149,8
SUP-00005,8
RET-00080,8
SUP-00216,8
SUP-00150,8
SUP-00288,8
SUP-00246,8
RET-00040,8
RET-00037,8
SUP-00298,8
SUP-00213,8
LOG-00043,8
SUP-00183,8
SUP-00132,8
RET-00041,8
LOG-00002,8
SUP-00019,8
SUP-00057,8
SUP-00259,8
SUP-00283,8
SUP-00003,8
SUP-00050,8
LOG-00040,8
SUP-00006,8
SUP-00138,8
RET-00118,8
RET-00135,8
SUP-00046,8
SUP-00038,8
RET-00120,8
RET-00124,8
RET-00050,8
SUP-00157,8
SUP-00129,8
SUP-00217,8
LOG-00001,8
SUP-00159,8
SUP-00049,8
LOG-00010,8
SUP-00256,8
DST-00143,8
SUP-00172,8
SUP-00119,8
DST-00182,8
SUP-00167,7
SUP-00067,7
SUP-00113,7
RET-00018,7
SUP-00185,7
SUP-00090,7
LOG-00062,7
LOG-00077,7
SUP-00103,7
LOG-00063,7
SUP-00161,7
SUP-00153,7
LOG-00096,7
RET-00126,7
LOG-00042,7
LOG-00031,7
SUP-00214,7
LOG-00087,7
SUP-00030,7
DST-00053,7
SUP-00296,7
SUP-00125,7
SUP-00116,7
SUP-00143,7
SUP-00118,7
SUP-00263,7
SUP-00237,7
SUP-00026,7
LOG-00033,7
SUP-00210,7
LOG-00072,7
SUP-00141,7
SUP-00174,7
SUP-00285,7
SUP-00023,7
SUP-00146,7
LOG-00076,7
SUP-00058,7
LOG-00044,7
LOG-00085,7
LOG-00019,7
SUP-00270,7
SUP-00099,7
SUP-00212,7
SUP-00275,7
DST-00170,7
SUP-00235,7
DST-00114,7
LOG-00051,6
LOG-00026,6
SUP-00249,6
SUP-00095,6
SUP-00222,6
SUP-00278,6
SUP-00300,6
SUP-00175,6
SUP-00253,6
SUP-00022,6
SUP-00108,6
SUP-00060,6
SUP-00137,6
SUP-00075,6
RET-00094,6
RET-00064,6
LOG-00016,6
SUP-00220,6
SUP-00247,6
SUP-00071,6
DST-00110,6
RET-00062,6
SUP-00180,6
SUP-00196,6
LOG-00028,6
SUP-00218,6
LOG-00034,6
SUP-00170,6
LOG-00079,6
LOG-00005,6
LOG-00039,6
SUP-00264,6
SUP-00094,6
DST-00051,6
LOG-00046,6
LOG-00054,6
LOG-00068,6
SUP-00186,6
SUP-00134,6
SUP-00091,6
SUP-00289,6
LOG-00013,6
LOG-00094,6
SUP-00020,6
LOG-00006,6
LOG-00018,6
LOG-00066,6
SUP-00061,6
SUP-00027,6
RET-00060,6
SUP-00231,6
LOG-00014,6
LOG-00056,6
SUP-00131,6
LOG-00075,6
SUP-00066,6
SUP-00122,5
SUP-00226,5
LOG-00088,5
SUP-00192,5
SUP-00199,5
LOG-00089,5
SUP-00142,5
RET-00128,5
SUP-00245,5
LOG-00098,5
SUP-00295,5
LOG-00029,5
SUP-00121,5
SUP-00197,5
SUP-00010,5
SUP-00155,5
SUP-00191,5
LOG-00021,5
SUP-00037,5
LOG-00071,5
SUP-00055,5
DST-00064,5
LOG-00064,5
SUP-00206,5
LOG-00027,5
LOG-00074,5
LOG-00067,5
LOG-00097,5
SUP-00225,5
LOG-00057,5
SUP-00013,5
SUP-00184,5
SUP-00105,5
LOG-00069,5
LOG-00092,5
LOG-00078,4
LOG-00053,4
SUP-00255,4
LOG-00048,4
RET-00015,4
SUP-00208,4
SUP-00198,4
LOG-00073,4
SUP-00081,4
LOG-00030,4
LOG-00022,4
SUP-00299,4
LOG-00024,4
SUP-00248,4
SUP-00109,4
SUP-00189,4
LOG-00086,4
LOG-00009,4
LOG-00011,4
LOG-00004,4
SUP-00069,4
SUP-00282,4
SUP-00284,3
SUP-00277,3
LOG-00082,3
SUP-00092,3
SUP-00177,3
LOG-00093,3
LOG-00060,3
LOG-00015,3
LOG-00035,3
SUP-00268,3
LOG-00065,3
LOG-00008,3
LOG-00070,3
LOG-00003,3
LOG-00081,3
SUP-00181,3
SUP-00158,3
LOG-00023,2
LOG-00090,2
SUP-00279,2
LOG-00061,2
LOG-00032,1
