node,community_id
MFG-00027,3
RET-00116,3
WHS-00023,3
LOG-00010,3
MFG-00130,3
DST-00189,3
DST-00084,3
SUP-00270,3
SUP-00076,3
RET-00144,3
MFG-00089,3
DST-00146,3
RET-00049,3
SUP-00125,3
RET-00100,3
SUP-00032,3
MFG-00059,3
MFG-00098,3
WHS-00089,3
SUP-00008,3
SUP-00068,3
MFG-00112,3
WHS-00073,3
DST-00177,4
RET-00062,4
SUP-00253,4
RET-00030,4
SUP-00128,4
WHS-00078,4
MFG-00118,4
DST-00183,4
SUP-00056,4
WHS-00100,4
MFG-00099,4
WHS-00047,4
DST-00001,4
RET-00083,4
DST-00011,4
DST-00061,4
MFG-00044,4
MFG-00063,4
DST-00135,4
RET-00040,4
DST-00052,4
WHS-00097,4
SUP-00247,4
SUP-00162,4
RET-00063,4
SUP-00289,4
SUP-00011,4
SUP-00229,4
DST-00161,4
MFG-00120,4
MFG-00136,4
RET-00002,4
DST-00033,4
WHS-00021,4
MFG-00117,4
SUP-00015,4
MFG-00045,4
RET-00033,4
RET-00147,4
SUP-00101,4
DST-00130,4
DST-00118,4
DST-00140,4
DST-00090,4
WHS-00034,4
MFG-00114,4
SUP-00149,4
WHS-00041,4
WHS-00030,4
SUP-00045,4
SUP-00298,4
WHS-00022,4
SUP-00171,4
SUP-00234,4
SUP-00241,4
DST-00012,4
MFG-00128,4
WHS-00031,4
RET-00096,4
RET-00046,4
SUP-00233,4
SUP-00223,4
MFG-00018,4
SUP-00282,4
SUP-00199,4
MFG-00141,4
DST-00168,4
SUP-00052,4
MFG-00078,4
RET-00007,4
DST-00192,4
LOG-00012,4
SUP-00203,4
SUP-00274,4
MFG-00108,4
DST-00003,5
WHS-00086,5
MFG-00124,5
RET-00122,5
LOG-00059,5
DST-00068,5
RET-00149,5
RET-00135,5
RET-00132,5
MFG-00012,5
RET-00139,5
DST-00043,5
DST-00010,5
RET-00140,5
SUP-00118,5
DST-00078,5
RET-00012,5
DST-00064,5
RET-00069,5
DST-00128,5
DST-00013,5
RET-00013,5
WHS-00077,5
DST-00141,5
DST-00110,5
LOG-00099,5
RET-00050,5
DST-00171,5
RET-00027,5
SUP-00185,5
WHS-00061,5
DST-00114,5
LOG-00014,5
DST-00073,5
LOG-00085,5
SUP-00085,5
SUP-00124,5
RET-00113,5
SUP-00271,5
MFG-00101,5
DST-00086,5
MFG-00056,5
SUP-00095,5
DST-00121,5
LOG-00075,5
DST-00002,5
SUP-00151,5
DST-00131,5
SUP-00268,5
SUP-00266,5
DST-00133,5
MFG-00105,5
WHS-00004,5
WHS-00051,5
SUP-00097,5
RET-00124,5
MFG-00038,5
RET-00088,5
RET-00044,5
DST-00018,5
DST-00136,5
RET-00066,5
LOG-00078,5
SUP-00081,5
RET-00022,5
SUP-00173,5
SUP-00024,5
SUP-00166,5
DST-00060,6
SUP-00207,6
RET-00028,6
MFG-00144,6
DST-00074,6
DST-00009,6
SUP-00046,6
DST-00006,6
RET-00091,6
RET-00087,6
SUP-00098,6
DST-00155,6
DST-00194,6
WHS-00052,6
DST-00129,6
LOG-00025,6
SUP-00141,6
SUP-00238,6
SUP-00035,6
MFG-00029,6
MFG-00125,6
SUP-00051,6
SUP-00126,6
WHS-00090,6
LOG-00022,6
DST-00120,6
WHS-00072,6
SUP-00252,6
MFG-00070,6
MFG-00049,6
LOG-00064,6
RET-00010,6
MFG-00028,6
DST-00164,6
WHS-00082,6
MFG-00150,6
SUP-00245,6
DST-00030,6
LOG-00040,6
RET-00072,6
DST-00022,6
SUP-00243,6
SUP-00296,6
RET-00112,6
MFG-00026,6
DST-00151,6
WHS-00039,6
MFG-00103,6
WHS-00044,6
DST-00058,6
SUP-00201,6
SUP-00120,6
DST-00076,6
SUP-00148,6
DST-00134,6
SUP-00102,6
RET-00031,6
RET-00015,6
MFG-00127,6
MFG-00001,7
MFG-00145,7
MFG-00080,7
SUP-00106,7
MFG-00016,7
SUP-00214,7
SUP-00251,7
SUP-00256,7
MFG-00097,7
SUP-00104,7
SUP-00280,7
LOG-00090,7
SUP-00262,7
SUP-00114,7
SUP-00198,7
SUP-00089,7
SUP-00278,7
SUP-00186,7
WHS-00037,7
LOG-00048,7
MFG-00110,7
WHS-00014,7
LOG-00007,7
LOG-00005,7
SUP-00250,7
SUP-00137,7
DST-00139,7
SUP-00044,7
WHS-00046,7
RET-00047,7
SUP-00026,7
SUP-00047,7
SUP-00107,7
LOG-00031,7
WHS-00033,7
SUP-00193,7
SUP-00299,7
MFG-00091,7
SUP-00034,7
DST-00062,7
SUP-00182,7
LOG-00051,7
SUP-00161,7
SUP-00131,7
LOG-00080,7
LOG-00039,7
SUP-00269,7
SUP-00265,7
SUP-00030,7
MFG-00113,7
MFG-00014,7
SUP-00003,7
MFG-00020,7
DST-00166,7
DST-00026,7
SUP-00031,7
MFG-00094,7
SUP-00039,7
RET-00060,7
RET-00001,7
MFG-00081,7
SUP-00136,7
MFG-00129,7
DST-00037,8
SUP-00154,8
SUP-00147,8
DST-00197,8
MFG-00077,8
SUP-00244,8
SUP-00084,8
RET-00129,8
SUP-00264,8
SUP-00257,8
LOG-00083,8
MFG-00051,8
WHS-00069,8
SUP-00240,8
MFG-00106,8
SUP-00276,8
LOG-00068,8
LOG-00079,8
SUP-00157,8
SUP-00105,8
MFG-00013,8
SUP-00135,8
DST-00025,8
DST-00027,8
LOG-00060,8
MFG-00008,8
SUP-00216,8
MFG-00132,8
WHS-00027,8
SUP-00144,8
SUP-00116,8
SUP-00012,8
WHS-00017,8
LOG-00049,8
DST-00096,8
SUP-00072,8
RET-00118,8
RET-00084,8
WHS-00042,8
MFG-00052,8
SUP-00078,8
MFG-00009,8
LOG-00033,8
LOG-00062,8
WHS-00083,8
SUP-00086,8
MFG-00032,8
LOG-00001,8
MFG-00085,8
DST-00085,8
MFG-00067,8
MFG-00134,8
SUP-00218,8
SUP-00295,8
WHS-00096,8
MFG-00037,8
SUP-00020,8
DST-00034,8
SUP-00037,8
SUP-00277,8
SUP-00291,8
DST-00008,8
MFG-00102,8
SUP-00074,8
MFG-00071,9
DST-00158,9
DST-00160,9
DST-00119,9
SUP-00211,9
SUP-00049,9
WHS-00065,9
RET-00067,9
RET-00003,9
SUP-00259,9
LOG-00016,9
DST-00028,9
RET-00025,9
MFG-00011,9
SUP-00167,9
SUP-00001,9
RET-00090,9
WHS-00025,9
SUP-00213,9
MFG-00034,9
MFG-00025,9
DST-00051,9
DST-00005,9
SUP-00286,9
SUP-00055,9
LOG-00037,9
WHS-00094,9
WHS-00076,9
RET-00032,9
RET-00110,9
SUP-00058,9
LOG-00056,9
DST-00109,9
SUP-00082,9
WHS-00048,9
RET-00114,9
SUP-00077,9
LOG-00023,9
SUP-00119,9
LOG-00093,9
MFG-00084,9
MFG-00088,9
SUP-00115,9
DST-00035,9
DST-00156,9
SUP-00246,9
WHS-00038,9
RET-00077,9
MFG-00082,9
SUP-00070,9
MFG-00021,10
LOG-00035,10
DST-00023,10
LOG-00076,10
MFG-00104,10
RET-00108,10
DST-00123,10
LOG-00066,10
RET-00111,10
DST-00070,10
DST-00069,10
MFG-00115,10
DST-00176,10
WHS-00068,10
MFG-00023,10
DST-00108,10
SUP-00013,10
WHS-00080,10
LOG-00042,10
DST-00039,10
DST-00127,10
RET-00068,10
SUP-00287,10
DST-00180,10
RET-00008,10
RET-00148,10
WHS-00006,10
SUP-00290,10
DST-00045,10
LOG-00015,10
RET-00043,10
SUP-00200,10
LOG-00041,10
LOG-00011,10
SUP-00222,10
DST-00016,10
DST-00047,10
SUP-00036,10
SUP-00146,10
MFG-00031,10
SUP-00158,10
MFG-00005,10
DST-00101,10
RET-00089,10
LOG-00036,10
WHS-00032,10
LOG-00067,10
RET-00109,10
SUP-00094,10
RET-00082,10
DST-00038,10
MFG-00131,10
SUP-00134,10
DST-00187,10
SUP-00066,10
RET-00005,10
RET-00097,10
RET-00075,11
WHS-00035,11
WHS-00028,11
MFG-00073,11
SUP-00113,11
RET-00039,11
MFG-00019,11
SUP-00127,11
DST-00153,11
SUP-00065,11
DST-00103,11
LOG-00071,11
DST-00024,11
SUP-00164,11
RET-00034,11
DST-00014,11
WHS-00081,11
SUP-00230,11
SUP-00121,11
SUP-00235,11
WHS-00059,11
MFG-00058,11
SUP-00168,11
MFG-00054,11
SUP-00281,11
RET-00024,11
WHS-00016,11
SUP-00088,11
MFG-00135,11
RET-00120,11
RET-00092,11
LOG-00043,11
RET-00058,11
MFG-00015,11
DST-00169,11
MFG-00030,11
SUP-00175,11
WHS-00026,11
SUP-00194,11
SUP-00242,11
MFG-00007,11
MFG-00003,11
DST-00087,11
LOG-00052,11
DST-00132,11
LOG-00058,11
SUP-00180,11
SUP-00195,11
WHS-00001,11
WHS-00056,11
WHS-00005,11
DST-00057,11
SUP-00010,11
DST-00044,11
DST-00040,11
LOG-00019,11
SUP-00300,11
DST-00157,11
MFG-00123,11
SUP-00103,11
WHS-00066,11
SUP-00254,11
SUP-00028,11
SUP-00038,11
LOG-00054,11
MFG-00057,11
LOG-00045,11
MFG-00079,11
SUP-00204,11
RET-00093,11
SUP-00043,11
DST-00105,11
SUP-00170,11
LOG-00096,11
WHS-00070,12
SUP-00100,12
SUP-00236,12
SUP-00189,12
DST-00198,12
RET-00136,12
MFG-00036,12
RET-00141,12
MFG-00062,12
MFG-00046,12
SUP-00275,12
LOG-00013,12
MFG-00050,12
SUP-00226,12
MFG-00100,12
SUP-00169,12
WHS-00007,12
SUP-00083,12
RET-00006,12
SUP-00258,12
SUP-00239,12
LOG-00021,12
MFG-00111,12
MFG-00092,12
MFG-00142,12
DST-00152,12
SUP-00138,12
DST-00184,12
SUP-00267,12
SUP-00063,12
DST-00100,12
SUP-00263,12
SUP-00279,12
LOG-00024,12
DST-00077,12
LOG-00100,12
DST-00181,12
RET-00037,12
LOG-00072,12
SUP-00255,12
WHS-00009,12
WHS-00049,12
SUP-00172,12
DST-00071,12
WHS-00002,12
RET-00085,12
SUP-00219,12
SUP-00029,12
WHS-00095,12
SUP-00156,12
RET-00142,12
SUP-00228,12
SUP-00110,13
MFG-00093,13
WHS-00058,13
DST-00178,13
WHS-00071,13
WHS-00062,13
SUP-00192,13
MFG-00006,13
WHS-00015,13
DST-00004,13
RET-00056,13
RET-00070,13
MFG-00116,13
DST-00102,13
LOG-00091,13
SUP-00220,13
SUP-00190,13
SUP-00130,13
MFG-00017,13
DST-00150,13
SUP-00292,13
DST-00126,13
RET-00086,13
DST-00173,13
RET-00134,13
WHS-00067,13
SUP-00061,13
DST-00186,13
SUP-00221,13
DST-00144,13
DST-00111,13
SUP-00112,13
DST-00147,13
DST-00050,13
MFG-00039,13
DST-00067,13
DST-00125,13
MFG-00147,13
RET-00117,13
DST-00066,13
LOG-00030,13
MFG-00121,13
DST-00088,13
RET-00054,13
LOG-00063,13
SUP-00091,13
SUP-00208,13
DST-00095,13
MFG-00138,13
RET-00023,13
SUP-00009,13
SUP-00143,13
SUP-00069,13
LOG-00095,13
DST-00019,13
DST-00093,13
DST-00017,13
SUP-00099,13
SUP-00004,13
RET-00061,13
LOG-00077,13
LOG-00053,13
RET-00115,13
LOG-00097,13
RET-00019,13
WHS-00063,13
WHS-00079,13
RET-00094,13
RET-00064,13
RET-00107,13
MFG-00137,13
RET-00048,13
SUP-00129,13
SUP-00122,13
WHS-00085,13
RET-00073,13
SUP-00150,13
SUP-00191,13
MFG-00002,13
RET-00017,13
RET-00038,13
RET-00131,13
SUP-00179,13
DST-00020,13
LOG-00089,13
RET-00098,13
SUP-00007,13
RET-00041,13
MFG-00055,13
SUP-00073,14
SUP-00111,14
DST-00163,14
DST-00075,14
RET-00133,14
DST-00185,14
RET-00138,14
RET-00101,14
DST-00122,14
WHS-00075,14
RET-00057,14
RET-00128,14
SUP-00273,14
WHS-00074,14
DST-00049,14
SUP-00217,14
SUP-00059,14
DST-00159,14
DST-00106,14
RET-00051,14
MFG-00143,14
DST-00196,14
MFG-00119,14
RET-00016,14
DST-00190,14
DST-00055,14
RET-00099,14
LOG-00086,14
LOG-00018,14
DST-00041,14
WHS-00003,14
MFG-00126,14
DST-00182,14
LOG-00038,14
SUP-00006,14
SUP-00064,14
DST-00082,14
RET-00125,14
RET-00081,14
LOG-00003,14
MFG-00086,14
DST-00145,14
SUP-00215,14
SUP-00017,14
SUP-00062,14
RET-00150,14
LOG-00055,14
RET-00059,14
RET-00126,14
MFG-00074,14
WHS-00012,14
RET-00052,14
DST-00188,14
SUP-00048,14
SUP-00285,15
DST-00021,15
MFG-00075,15
SUP-00188,15
LOG-00098,15
MFG-00053,15
SUP-00261,15
RET-00021,15
LOG-00009,15
SUP-00096,15
WHS-00057,15
SUP-00025,15
SUP-00202,15
SUP-00249,15
SUP-00224,15
MFG-00024,15
MFG-00069,15
