node,node_type,num_suppliers,top_supplier,top_supplier_type,supplier_dependency_ratio,total_upstream_weight
SUP-00161,supplier,1,LOG-00007,logistics_provider,1.0,38.0
DST-00100,distributor,1,MFG-00142,manufacturer,1.0,111.0
SUP-00236,supplier,1,LOG-00072,logistics_provider,1.0,105.0
DST-00019,distributor,1,WHS-00034,warehouse,1.0,8.0
SUP-00163,supplier,1,LOG-00072,logistics_provider,1.0,63.0
SUP-00080,supplier,1,LOG-00040,logistics_provider,1.0,63.0
SUP-00250,supplier,1,LOG-00039,logistics_provider,1.0,69.0
SUP-00203,supplier,1,LOG-00004,logistics_provider,1.0,13.0
SUP-00184,supplier,1,LOG-00029,logistics_provider,1.0,5.0
SUP-00287,supplier,1,LOG-00036,logistics_provider,1.0,22.0
SUP-00004,supplier,1,LOG-00037,logistics_provider,1.0,8.0
SUP-00034,supplier,1,LOG-00039,logistics_provider,1.0,94.0
SUP-00229,supplier,1,LOG-00005,logistics_provider,1.0,86.0
SUP-00179,supplier,2,LOG-00077,logistics_provider,0.9792,96.0
DST-00064,distributor,2,MFG-00105,manufacturer,0.951,102.0
SUP-00265,supplier,2,LOG-00051,logistics_provider,0.95,100.0
SUP-00296,supplier,2,LOG-00064,logistics_provider,0.918,122.0
SUP-00212,supplier,2,LOG-00014,logistics_provider,0.898,49.0
SUP-00059,supplier,2,LOG-00091,logistics_provider,0.8571,21.0
SUP-00024,supplier,2,LOG-00002,logistics_provider,0.8333,108.0
DST-00051,distributor,2,MFG-00028,manufacturer,0.8254,63.0
SUP-00230,supplier,2,LOG-00019,logistics_provider,0.7973,74.0
SUP-00143,supplier,2,LOG-00075,logistics_provider,0.7442,129.0
DST-00144,distributor,3,MFG-00138,manufacturer,0.7416,89.0
SUP-00058,supplier,2,LOG-00023,logistics_provider,0.7344,64.0
SUP-00170,supplier,2,LOG-00074,logistics_provider,0.72,75.0
SUP-00123,supplier,2,LOG-00006,logistics_provider,0.7041,98.0
SUP-00206,supplier,2,LOG-00029,logistics_provider,0.6944,36.0
DST-00053,distributor,2,WHS-00009,warehouse,0.6731,52.0
DST-00017,distributor,3,MFG-00128,manufacturer,0.661,59.0
DST-00110,distributor,3,WHS-00034,warehouse,0.6562,128.0
SUP-00039,supplier,2,LOG-00007,logistics_provider,0.6485,165.0
SUP-00152,supplier,2,LOG-00022,logistics_provider,0.6377,138.0
SUP-00044,supplier,2,LOG-00048,logistics_provider,0.6288,132.0
DST-00099,distributor,2,MFG-00136,manufacturer,0.6259,147.0
DST-00139,distributor,2,WHS-00037,warehouse,0.6065,155.0
DST-00188,distributor,3,MFG-00013,manufacturer,0.6012,168.0
DST-00141,distributor,3,WHS-00087,warehouse,0.5941,170.0
DST-00113,distributor,4,WHS-00075,warehouse,0.5904,166.0
SUP-00221,supplier,2,LOG-00053,logistics_provider,0.5536,112.0
DST-00070,distributor,3,MFG-00071,manufacturer,0.5523,172.0
DST-00191,distributor,4,WHS-00045,warehouse,0.5515,194.0
SUP-00040,supplier,2,LOG-00024,logistics_provider,0.5437,160.0
DST-00142,distributor,4,WHS-00010,warehouse,0.5427,164.0
SUP-00100,supplier,2,LOG-00045,logistics_provider,0.54,50.0
DST-00136,distributor,3,MFG-00143,manufacturer,0.5362,207.0
DST-00172,distributor,5,MFG-00010,manufacturer,0.5352,213.0
DST-00068,distributor,2,MFG-00038,manufacturer,0.5323,62.0
SUP-00259,supplier,2,LOG-00036,logistics_provider,0.525,80.0
DST-00187,distributor,4,LOG-00015,logistics_provider,0.5217,138.0
SUP-00242,supplier,2,LOG-00095,logistics_provider,0.5208,192.0
DST-00168,distributor,4,WHS-00097,warehouse,0.52,200.0
SUP-00151,supplier,2,LOG-00014,logistics_provider,0.5157,159.0
SUP-00088,supplier,2,LOG-00055,logistics_provider,0.5115,174.0
DST-00161,distributor,3,MFG-00079,manufacturer,0.5097,155.0
DST-00026,distributor,2,MFG-00049,manufacturer,0.5079,191.0
DST-00150,distributor,2,MFG-00120,manufacturer,0.5052,192.0
DST-00096,distributor,2,WHS-00026,warehouse,0.5051,196.0
SUP-00139,supplier,2,LOG-00047,logistics_provider,0.5027,185.0
SUP-00135,supplier,2,LOG-00083,logistics_provider,0.5,196.0
SUP-00079,supplier,3,LOG-00046,logistics_provider,0.4968,157.0
DST-00158,distributor,3,LOG-00037,logistics_provider,0.493,213.0
DST-00012,distributor,3,MFG-00078,manufacturer,0.4844,192.0
DST-00038,distributor,4,WHS-00068,warehouse,0.4769,130.0
DST-00041,distributor,4,MFG-00103,manufacturer,0.4757,206.0
DST-00111,distributor,4,MFG-00014,manufacturer,0.4709,223.0
DST-00020,distributor,3,WHS-00020,warehouse,0.4675,231.0
DST-00151,distributor,3,WHS-00044,warehouse,0.4657,204.0
DST-00125,distributor,4,WHS-00071,warehouse,0.4631,244.0
DST-00109,distributor,3,WHS-00049,warehouse,0.4495,218.0
DST-00171,distributor,4,MFG-00124,manufacturer,0.4357,241.0
DST-00123,distributor,4,MFG-00021,manufacturer,0.4328,238.0
DST-00008,distributor,3,MFG-00065,manufacturer,0.4262,237.0
DST-00199,distributor,4,WHS-00054,warehouse,0.4254,228.0
DST-00013,distributor,5,MFG-00141,manufacturer,0.4253,261.0
DST-00072,distributor,4,MFG-00139,manufacturer,0.4163,221.0
DST-00063,distributor,4,WHS-00086,warehouse,0.4082,245.0
DST-00170,distributor,3,WHS-00073,warehouse,0.3966,58.0
DST-00036,distributor,4,WHS-00069,warehouse,0.3961,255.0
SUP-00298,supplier,3,LOG-00072,logistics_provider,0.3945,256.0
DST-00003,distributor,7,MFG-00124,manufacturer,0.3846,273.0
DST-00178,distributor,3,LOG-00053,logistics_provider,0.3837,258.0
DST-00029,distributor,5,MFG-00056,manufacturer,0.383,282.0
DST-00131,distributor,3,MFG-00075,manufacturer,0.383,94.0
DST-00022,distributor,4,MFG-00061,manufacturer,0.3826,230.0
DST-00153,distributor,4,LOG-00052,logistics_provider,0.375,32.0
DST-00114,distributor,3,MFG-00124,manufacturer,0.3725,153.0
DST-00021,distributor,3,MFG-00080,manufacturer,0.3706,143.0
DST-00162,distributor,6,MFG-00061,manufacturer,0.3678,261.0
DST-00156,distributor,3,MFG-00108,manufacturer,0.3633,256.0
DST-00193,distributor,4,MFG-00022,manufacturer,0.3629,259.0
DST-00067,distributor,4,WHS-00058,warehouse,0.3618,293.0
DST-00066,distributor,5,MFG-00072,manufacturer,0.3566,244.0
DST-00039,distributor,7,LOG-00041,logistics_provider,0.3506,251.0
DST-00145,distributor,4,MFG-00081,manufacturer,0.3478,299.0
DST-00032,distributor,4,MFG-00071,manufacturer,0.3447,264.0
DST-00081,distributor,6,WHS-00055,warehouse,0.3442,337.0
DST-00196,distributor,5,MFG-00030,manufacturer,0.3419,310.0
DST-00055,distributor,4,MFG-00086,manufacturer,0.3396,321.0
DST-00118,distributor,4,MFG-00120,manufacturer,0.339,295.0
DST-00016,distributor,5,MFG-00006,manufacturer,0.3359,259.0
DST-00181,distributor,6,MFG-00140,manufacturer,0.3357,277.0
DST-00164,distributor,4,MFG-00104,manufacturer,0.3301,306.0
DST-00140,distributor,5,WHS-00100,warehouse,0.3296,270.0
DST-00076,distributor,4,MFG-00028,manufacturer,0.3224,152.0
DST-00059,distributor,4,MFG-00028,manufacturer,0.3219,351.0
DST-00056,distributor,4,MFG-00136,manufacturer,0.3197,319.0
MFG-00074,manufacturer,7,SUP-00059,supplier,0.3155,336.0
DST-00065,distributor,6,MFG-00141,manufacturer,0.3149,308.0
DST-00143,distributor,4,MFG-00033,manufacturer,0.3137,102.0
MFG-00126,manufacturer,6,SUP-00032,supplier,0.3125,16.0
DST-00010,distributor,6,WHS-00058,warehouse,0.3114,334.0
DST-00031,distributor,5,LOG-00013,logistics_provider,0.3106,322.0
DST-00106,distributor,6,MFG-00119,manufacturer,0.3084,347.0
DST-00025,distributor,4,MFG-00132,manufacturer,0.3082,318.0
DST-00040,distributor,7,WHS-00050,warehouse,0.3081,211.0
DST-00195,distributor,4,MFG-00140,manufacturer,0.3027,337.0
DST-00050,distributor,7,MFG-00002,manufacturer,0.3003,313.0
DST-00004,distributor,5,WHS-00092,warehouse,0.3,340.0
DST-00071,distributor,4,MFG-00062,manufacturer,0.3,170.0
DST-00154,distributor,5,MFG-00022,manufacturer,0.3,360.0
MFG-00052,manufacturer,9,SUP-00083,supplier,0.2974,306.0
DST-00159,distributor,6,WHS-00030,warehouse,0.2971,313.0
DST-00107,distributor,7,MFG-00060,manufacturer,0.2941,289.0
DST-00094,distributor,5,MFG-00047,manufacturer,0.2924,171.0
DST-00062,distributor,4,MFG-00020,manufacturer,0.2918,353.0
DST-00189,distributor,5,MFG-00100,manufacturer,0.291,323.0
DST-00163,distributor,4,MFG-00093,manufacturer,0.2909,55.0
DST-00129,distributor,6,MFG-00026,manufacturer,0.2857,378.0
DST-00167,distributor,6,WHS-00013,warehouse,0.2826,368.0
DST-00074,distributor,6,MFG-00028,manufacturer,0.2804,271.0
MFG-00141,manufacturer,4,SUP-00201,supplier,0.2795,390.0
DST-00035,distributor,6,MFG-00082,manufacturer,0.279,405.0
DST-00023,distributor,7,WHS-00005,warehouse,0.2782,248.0
DST-00086,distributor,5,MFG-00079,manufacturer,0.2773,357.0
DST-00117,distributor,5,LOG-00070,logistics_provider,0.2767,365.0
DST-00052,distributor,6,MFG-00046,manufacturer,0.2759,377.0
DST-00185,distributor,7,MFG-00003,manufacturer,0.2751,389.0
DST-00148,distributor,7,MFG-00117,manufacturer,0.2746,335.0
DST-00146,distributor,5,MFG-00089,manufacturer,0.2734,384.0
RET-00015,retailer,4,DST-00134,distributor,0.2719,114.0
DST-00089,distributor,5,MFG-00047,manufacturer,0.2709,358.0
RET-00064,retailer,6,DST-00147,distributor,0.2681,276.0
DST-00173,distributor,5,MFG-00040,manufacturer,0.2673,404.0
MFG-00142,manufacturer,9,SUP-00263,supplier,0.2672,408.0
RET-00128,retailer,5,MFG-00004,manufacturer,0.2655,403.0
DST-00078,distributor,7,MFG-00112,manufacturer,0.2652,396.0
DST-00092,distributor,5,MFG-00004,manufacturer,0.2646,378.0
DST-00137,distributor,7,WHS-00024,warehouse,0.2646,359.0
DST-00135,distributor,5,LOG-00012,logistics_provider,0.2645,431.0
DST-00174,distributor,5,MFG-00028,manufacturer,0.2623,385.0
DST-00085,distributor,5,LOG-00079,logistics_provider,0.2588,398.0
DST-00101,distributor,5,MFG-00031,manufacturer,0.2562,203.0
DST-00103,distributor,7,MFG-00080,manufacturer,0.2561,367.0
DST-00057,distributor,6,WHS-00011,warehouse,0.2552,388.0
DST-00197,distributor,7,MFG-00032,manufacturer,0.2506,435.0
DST-00005,distributor,7,MFG-00141,manufacturer,0.25,180.0
DST-00034,distributor,6,MFG-00125,manufacturer,0.25,20.0
DST-00104,distributor,5,WHS-00075,warehouse,0.25,40.0
RET-00018,retailer,7,MFG-00107,manufacturer,0.2488,434.0
RET-00124,retailer,9,LOG-00099,logistics_provider,0.2468,389.0
MFG-00041,manufacturer,7,SUP-00096,supplier,0.2423,421.0
MFG-00117,manufacturer,11,SUP-00162,supplier,0.2415,439.0
DST-00030,distributor,7,WHS-00052,warehouse,0.2408,436.0
DST-00155,distributor,7,MFG-00010,manufacturer,0.2374,396.0
DST-00179,distributor,5,MFG-00029,manufacturer,0.2371,97.0
DST-00054,distributor,5,WHS-00038,warehouse,0.2364,110.0
DST-00157,distributor,6,LOG-00038,logistics_provider,0.2361,415.0
DST-00165,distributor,6,MFG-00078,manufacturer,0.2361,377.0
DST-00002,distributor,6,MFG-00011,manufacturer,0.2336,441.0
RET-00062,retailer,6,MFG-00141,manufacturer,0.2329,425.0
DST-00069,distributor,7,WHS-00043,warehouse,0.2312,506.0
DST-00049,distributor,7,MFG-00028,manufacturer,0.2309,433.0
DST-00176,distributor,8,WHS-00002,warehouse,0.2308,429.0
DST-00047,distributor,7,MFG-00005,manufacturer,0.2304,421.0
DST-00087,distributor,7,LOG-00058,logistics_provider,0.2299,435.0
MFG-00095,manufacturer,9,SUP-00159,supplier,0.227,423.0
DST-00028,distributor,5,MFG-00071,manufacturer,0.2269,476.0
RET-00016,retailer,9,DST-00188,distributor,0.2249,449.0
MFG-00093,manufacturer,6,SUP-00122,supplier,0.2242,455.0
DST-00001,distributor,7,MFG-00045,manufacturer,0.2232,448.0
DST-00098,distributor,7,WHS-00076,warehouse,0.2227,476.0
DST-00138,distributor,7,MFG-00066,manufacturer,0.2227,440.0
DST-00075,distributor,6,MFG-00028,manufacturer,0.2213,244.0
DST-00097,distributor,8,LOG-00028,logistics_provider,0.2205,390.0
DST-00095,distributor,7,MFG-00037,manufacturer,0.2193,187.0
DST-00121,distributor,8,MFG-00064,manufacturer,0.219,443.0
DST-00048,distributor,7,MFG-00057,manufacturer,0.2188,448.0
DST-00115,distributor,11,MFG-00146,manufacturer,0.2187,471.0
DST-00186,distributor,5,MFG-00028,manufacturer,0.2171,129.0
RET-00094,retailer,7,DST-00050,distributor,0.2169,189.0
DST-00046,distributor,6,WHS-00025,warehouse,0.2155,464.0
DST-00045,distributor,6,MFG-00064,manufacturer,0.2146,480.0
RET-00120,retailer,8,DST-00044,distributor,0.2145,331.0
RET-00073,retailer,9,DST-00150,distributor,0.2144,527.0
DST-00108,distributor,7,WHS-00003,warehouse,0.214,500.0
MFG-00009,manufacturer,11,SUP-00126,supplier,0.2138,435.0
DST-00120,distributor,6,MFG-00005,manufacturer,0.2138,449.0
DST-00037,distributor,7,WHS-00027,warehouse,0.2136,487.0
DST-00192,distributor,6,MFG-00069,manufacturer,0.2118,510.0
MFG-00076,manufacturer,9,SUP-00256,supplier,0.2116,430.0
DST-00077,distributor,7,MFG-00060,manufacturer,0.2079,505.0
DST-00184,distributor,7,MFG-00083,manufacturer,0.2074,487.0
MFG-00091,manufacturer,8,SUP-00262,supplier,0.2069,261.0
RET-00050,retailer,9,DST-00073,distributor,0.2068,527.0
DST-00180,distributor,9,WHS-00082,warehouse,0.2063,446.0
DST-00011,distributor,5,MFG-00010,manufacturer,0.2057,457.0
DST-00080,distributor,8,MFG-00035,manufacturer,0.2038,525.0
DST-00083,distributor,10,LOG-00084,logistics_provider,0.2036,496.0
MFG-00007,manufacturer,9,SUP-00300,supplier,0.2034,526.0
DST-00198,distributor,7,MFG-00028,manufacturer,0.2031,512.0
DST-00024,distributor,7,WHS-00066,warehouse,0.2026,538.0
RET-00041,retailer,8,DST-00020,distributor,0.2026,543.0
DST-00112,distributor,7,WHS-00067,warehouse,0.2017,466.0
DST-00061,distributor,10,WHS-00100,warehouse,0.2014,556.0
MFG-00061,manufacturer,7,SUP-00195,supplier,0.2005,434.0
RET-00013,retailer,12,DST-00151,distributor,0.1993,602.0
DST-00073,distributor,7,LOG-00078,logistics_provider,0.1989,528.0
RET-00061,retailer,9,DST-00102,distributor,0.1981,525.0
RET-00132,retailer,9,DST-00141,distributor,0.1961,561.0
MFG-00027,manufacturer,6,SUP-00179,supplier,0.1949,195.0
RET-00093,retailer,11,DST-00057,distributor,0.1944,602.0
DST-00160,distributor,8,WHS-00065,warehouse,0.1937,537.0
DST-00147,distributor,7,WHS-00085,warehouse,0.1931,523.0
RET-00037,retailer,8,MFG-00100,manufacturer,0.1926,592.0
DST-00091,distributor,7,WHS-00094,warehouse,0.1919,172.0
DST-00102,distributor,11,MFG-00147,manufacturer,0.1911,586.0
DST-00177,distributor,9,MFG-00102,manufacturer,0.1908,524.0
RET-00091,retailer,10,DST-00006,distributor,0.1891,550.0
DST-00015,distributor,7,MFG-00095,manufacturer,0.1854,588.0
DST-00079,distributor,8,MFG-00047,manufacturer,0.1838,582.0
RET-00101,retailer,12,MFG-00100,manufacturer,0.1835,594.0
RET-00009,retailer,10,WHS-00064,warehouse,0.1832,535.0
DST-00126,distributor,7,WHS-00058,warehouse,0.1823,554.0
DST-00169,distributor,9,MFG-00133,manufacturer,0.1822,472.0
MFG-00107,manufacturer,10,SUP-00075,supplier,0.1814,612.0
MFG-00099,manufacturer,7,SUP-00045,supplier,0.1811,530.0
MFG-00019,manufacturer,8,SUP-00022,supplier,0.179,525.0
RET-00147,retailer,8,DST-00137,distributor,0.1788,179.0
DST-00124,distributor,10,MFG-00043,manufacturer,0.1787,554.0
DST-00166,distributor,7,MFG-00067,manufacturer,0.1782,595.0
MFG-00040,manufacturer,7,SUP-00141,supplier,0.1775,569.0
RET-00034,retailer,8,DST-00043,distributor,0.1773,564.0
MFG-00068,manufacturer,9,SUP-00018,supplier,0.177,610.0
MFG-00004,manufacturer,8,SUP-00125,supplier,0.1764,618.0
MFG-00105,manufacturer,8,SUP-00268,supplier,0.1763,556.0
RET-00135,retailer,9,DST-00064,distributor,0.1755,473.0
DST-00082,distributor,8,WHS-00026,warehouse,0.1754,610.0
DST-00127,distributor,7,MFG-00019,manufacturer,0.1749,606.0
DST-00060,distributor,8,MFG-00108,manufacturer,0.1749,606.0
DST-00084,distributor,7,MFG-00066,manufacturer,0.1746,607.0
RET-00110,retailer,9,MFG-00034,manufacturer,0.1741,609.0
DST-00044,distributor,7,MFG-00076,manufacturer,0.1725,568.0
DST-00093,distributor,8,MFG-00060,manufacturer,0.1724,586.0
RET-00150,retailer,10,DST-00145,distributor,0.1722,598.0
DST-00152,distributor,8,MFG-00025,manufacturer,0.1718,163.0
MFG-00121,manufacturer,8,SUP-00068,supplier,0.1714,35.0
DST-00134,distributor,9,WHS-00052,warehouse,0.1706,598.0
DST-00043,distributor,10,MFG-00101,manufacturer,0.1703,646.0
DST-00009,distributor,9,WHS-00013,warehouse,0.1701,588.0
RET-00081,retailer,11,WHS-00075,warehouse,0.1698,589.0
RET-00075,retailer,9,DST-00157,distributor,0.1698,636.0
MFG-00092,manufacturer,8,SUP-00006,supplier,0.1698,159.0
RET-00126,retailer,8,DST-00049,distributor,0.1692,585.0
MFG-00066,manufacturer,9,SUP-00107,supplier,0.1681,595.0
MFG-00111,manufacturer,8,SUP-00092,supplier,0.1667,426.0
MFG-00070,manufacturer,10,WHS-00033,warehouse,0.1664,619.0
DST-00088,distributor,9,MFG-00055,manufacturer,0.1661,554.0
DST-00122,distributor,10,WHS-00003,warehouse,0.165,594.0
RET-00137,retailer,10,DST-00115,distributor,0.1649,649.0
MFG-00118,manufacturer,10,WHS-00016,warehouse,0.1644,225.0
MFG-00113,manufacturer,11,SUP-00280,supplier,0.1641,658.0
DST-00105,distributor,8,WHS-00016,warehouse,0.164,677.0
RET-00027,retailer,11,DST-00043,distributor,0.164,622.0
MFG-00114,manufacturer,9,SUP-00009,supplier,0.1638,580.0
MFG-00049,manufacturer,9,SUP-00051,supplier,0.1636,605.0
MFG-00138,manufacturer,10,SUP-00029,supplier,0.1624,511.0
MFG-00028,manufacturer,10,WHS-00012,warehouse,0.1617,668.0
RET-00040,retailer,8,DST-00177,distributor,0.1609,609.0
RET-00080,retailer,8,DST-00080,distributor,0.1607,56.0
DST-00058,distributor,10,MFG-00013,manufacturer,0.1605,679.0
MFG-00036,manufacturer,9,SUP-00053,supplier,0.1605,617.0
RET-00053,retailer,9,DST-00098,distributor,0.16,675.0
MFG-00140,manufacturer,9,SUP-00145,supplier,0.1593,615.0
MFG-00098,manufacturer,14,SUP-00294,supplier,0.1589,384.0
MFG-00002,manufacturer,15,WHS-00007,warehouse,0.1586,681.0
DST-00200,distributor,9,WHS-00054,warehouse,0.1585,694.0
DST-00014,distributor,9,WHS-00069,warehouse,0.1585,656.0
MFG-00149,manufacturer,10,SUP-00177,supplier,0.1584,682.0
RET-00118,retailer,11,DST-00025,distributor,0.1582,651.0
MFG-00085,manufacturer,10,SUP-00277,supplier,0.1582,708.0
MFG-00054,manufacturer,11,SUP-00254,supplier,0.158,671.0
RET-00079,retailer,13,DST-00117,distributor,0.1577,691.0
RET-00068,retailer,14,DST-00127,distributor,0.1574,648.0
MFG-00109,manufacturer,8,SUP-00163,supplier,0.1562,192.0
DST-00027,distributor,11,WHS-00069,warehouse,0.1562,621.0
RET-00035,retailer,13,DST-00172,distributor,0.1554,663.0
DST-00116,distributor,10,MFG-00133,manufacturer,0.1553,721.0
MFG-00039,manufacturer,12,WHS-00062,warehouse,0.1552,683.0
RET-00021,retailer,9,MFG-00069,manufacturer,0.1543,376.0
RET-00102,retailer,13,DST-00077,distributor,0.1542,629.0
RET-00002,retailer,10,DST-00052,distributor,0.1542,240.0
MFG-00073,manufacturer,13,SUP-00103,supplier,0.1527,668.0
DST-00018,distributor,9,WHS-00002,warehouse,0.1516,686.0
DST-00190,distributor,9,WHS-00012,warehouse,0.1511,675.0
DST-00130,distributor,8,MFG-00119,manufacturer,0.1506,166.0
RET-00140,retailer,10,WHS-00010,warehouse,0.1505,691.0
RET-00038,retailer,12,DST-00078,distributor,0.1503,712.0
MFG-00120,manufacturer,11,SUP-00286,supplier,0.15,620.0
DST-00132,distributor,8,WHS-00066,warehouse,0.15,160.0
MFG-00127,manufacturer,10,LOG-00040,logistics_provider,0.1499,694.0
MFG-00048,manufacturer,10,SUP-00188,supplier,0.1498,307.0
MFG-00057,manufacturer,11,SUP-00043,supplier,0.1496,682.0
RET-00031,retailer,10,DST-00060,distributor,0.1495,194.0
RET-00136,retailer,10,DST-00108,distributor,0.1491,704.0
DST-00007,distributor,9,WHS-00008,warehouse,0.1491,275.0
MFG-00045,manufacturer,10,SUP-00126,supplier,0.1485,653.0
DST-00006,distributor,9,WHS-00066,warehouse,0.1484,748.0
MFG-00032,manufacturer,10,SUP-00291,supplier,0.1481,702.0
RET-00022,retailer,9,WHS-00061,warehouse,0.1481,709.0
RET-00098,retailer,12,DST-00079,distributor,0.1475,773.0
MFG-00031,manufacturer,8,SUP-00127,supplier,0.1473,319.0
RET-00106,retailer,10,WHS-00093,warehouse,0.1466,716.0
RET-00007,retailer,10,DST-00155,distributor,0.1462,130.0
DST-00090,distributor,12,WHS-00030,warehouse,0.1458,720.0
RET-00141,retailer,10,MFG-00142,manufacturer,0.1451,696.0
MFG-00116,manufacturer,8,SUP-00077,supplier,0.1449,138.0
MFG-00060,manufacturer,14,SUP-00014,supplier,0.1447,795.0
MFG-00064,manufacturer,12,WHS-00092,warehouse,0.1443,818.0
RET-00070,retailer,9,DST-00066,distributor,0.1429,742.0
DST-00042,distributor,11,MFG-00003,manufacturer,0.1425,737.0
MFG-00090,manufacturer,14,SUP-00159,supplier,0.1418,656.0
WHS-00001,warehouse,15,SUP-00028,supplier,0.1413,743.0
RET-00071,retailer,13,DST-00079,distributor,0.141,752.0
RET-00097,retailer,10,DST-00156,distributor,0.1409,653.0
RET-00074,retailer,9,DST-00081,distributor,0.14,300.0
RET-00060,retailer,9,MFG-00014,manufacturer,0.1399,143.0
WHS-00040,warehouse,12,DST-00179,distributor,0.1395,43.0
RET-00005,retailer,10,MFG-00021,manufacturer,0.1391,769.0
RET-00145,retailer,11,DST-00124,distributor,0.1383,752.0
