node,in_degree,out_degree,total_degree,in_degree_centrality,out_degree_centrality,betweenness,closeness,eigenvector,pagerank,total_degree_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,bridge_without_hub
MFG-00089,19,18,37,0.01901901901901902,0.018018018018018018,0.004360141553414962,0.2276054116977786,0.021737612772615753,0.0015038988265469678,25,90,377,329,236,-65
WHS-00069,25,11,36,0.025025025025025023,0.011011011011011011,0.007579330454590262,0.25564613604959424,0.06771331158344833,0.0025964790623982333,32,23,146,59,26,9
WHS-00051,25,11,36,0.025025025025025023,0.011011011011011011,0.005832672848017217,0.24918317193598094,0.023244265954719723,0.0016934191062943952,32,45,206,314,178,-13
WHS-00006,31,5,36,0.031031031031031032,0.005005005005005005,0.004296605967166656,0.26342749579572144,0.04089637274963047,0.002531872257852538,32,93,83,191,31,-61
WHS-00045,30,6,36,0.03003003003003003,0.006006006006006006,0.004910854029689548,0.23663677014794052,0.022212787792730275,0.002090088264683221,32,66,309,325,94,-34
WHS-00096,29,7,36,0.029029029029029027,0.007007007007007007,0.003052668737866064,0.2641137602060565,0.053670876975845376,0.0024761833655842867,32,140,75,118,39,-108
WHS-00076,25,11,36,0.025025025025025023,0.011011011011011011,0.009404874609107897,0.24787763663069287,0.0333957555174384,0.002026147542378018,32,8,218,246,113,24
WHS-00056,24,11,35,0.024024024024024024,0.011011011011011011,0.004943572120446518,0.24530718066839738,0.022868603747300775,0.0015898793749408288,38,63,239,320,210,-25
WHS-00098,28,7,35,0.028028028028028028,0.007007007007007007,0.0028875254086731246,0.2588160735498445,0.05125003813134189,0.002497004406184112,38,152,118,131,34,-114
WHS-00086,23,12,35,0.023023023023023025,0.012012012012012012,0.010537049256072867,0.2555540776642685,0.015778854139726687,0.001670552227924717,38,5,147,381,185,33
WHS-00094,25,10,35,0.025025025025025023,0.01001001001001001,0.006457555605848452,0.26820622587818355,0.05551978354180769,0.0020363076937655266,38,32,51,112,106,6
WHS-00077,21,13,34,0.02102102102102102,0.013013013013013013,0.005946189931721335,0.2550031166631957,0.024906461105145918,0.0018131791045122832,42,44,152,303,155,-2
WHS-00044,28,6,34,0.028028028028028028,0.006006006006006006,0.004589337516168345,0.2621624210098536,0.060139984203753855,0.002644571593349349,42,79,95,87,22,-37
WHS-00027,27,7,34,0.02702702702702703,0.007007007007007007,0.005230988484365738,0.2594784912883633,0.04258246437760443,0.0018212837751981775,42,51,111,180,153,-9
MFG-00078,16,18,34,0.016016016016016016,0.018018018018018018,0.006260648308008245,0.23229907485226634,0.036548691344572566,0.002111191501605117,42,35,341,219,89,7
WHS-00037,29,5,34,0.029029029029029027,0.005005005005005005,0.004930233474922695,0.2781943056345252,0.08791467087315723,0.0032000928403572966,42,64,16,18,8,-22
WHS-00013,26,7,33,0.026026026026026026,0.007007007007007007,0.004183936771596257,0.25147897720541235,0.033536093469853936,0.0018950515367955718,47,97,187,242,142,-50
MFG-00082,13,20,33,0.013013013013013013,0.02002002002002002,0.0019066729032091046,0.19036310989100688,0.0032302738517040928,0.0012140295239068616,47,237,532,515,330,-190
MFG-00071,22,11,33,0.022022022022022022,0.011011011011011011,0.004419740618129271,0.25750133297303107,0.06760027921617391,0.0023522066039203043,47,87,131,60,52,-40
WHS-00092,27,6,33,0.02702702702702703,0.006006006006006006,0.004546246934474737,0.2602397043174454,0.06209313235955251,0.0024858650490359505,47,81,107,81,35,-34
WHS-00089,23,10,33,0.023023023023023025,0.01001001001001001,0.010173343539121835,0.26770036728542956,0.05221454064294128,0.0019104652668505723,47,6,56,127,136,41
MFG-00029,23,9,32,0.023023023023023025,0.009009009009009009,0.0029754026274190605,0.21809270856597224,0.03281632224844091,0.0022032978058305875,52,144,438,253,81,-92
WHS-00003,22,10,32,0.022022022022022022,0.01001001001001001,0.006328100935965941,0.24727305702915459,0.038778508798674075,0.0016745759818376,52,34,225,205,184,18
WHS-00061,22,10,32,0.022022022022022022,0.01001001001001001,0.006395000349114245,0.25491152071611844,0.02622369269781085,0.0015646657601541252,52,33,154,293,221,19
WHS-00041,23,9,32,0.023023023023023025,0.009009009009009009,0.00821295310663887,0.2668949506106332,0.051036451055772994,0.001989514148141094,52,14,59,135,125,38
WHS-00072,24,8,32,0.024024024024024024,0.008008008008008008,0.006471904888466301,0.2510341965594884,0.050294233134767725,0.002237537827901934,52,31,191,141,74,21
WHS-00055,25,7,32,0.025025025025025023,0.007007007007007007,0.005572513586118574,0.2658949695292895,0.08396711967869983,0.0027493543560255917,52,48,64,25,18,4
MFG-00110,17,15,32,0.017017017017017015,0.015015015015015015,0.002175351480890601,0.20058611466186368,0.0006011901551166771,0.0008569854721712019,52,205,497,547,463,-153
WHS-00062,27,5,32,0.02702702702702703,0.005005005005005005,0.004181252476687072,0.2624532816840509,0.0804661633386556,0.0024367061852909595,52,98,92,30,42,-46
WHS-00052,22,9,31,0.022022022022022022,0.009009009009009009,0.004961698767474652,0.25546208555567806,0.0841689566127854,0.001941763215029316,60,61,148,24,132,-1
WHS-00071,24,7,31,0.024024024024024024,0.007007007007007007,0.005184044523831031,0.25381747985467584,0.06236432458036566,0.0019119602138217605,60,53,163,80,135,7
WHS-00043,21,10,31,0.02102102102102102,0.01001001001001001,0.004086785235059724,0.2488336864213442,0.03954541133798436,0.00200197813861437,60,100,211,199,119,-40
WHS-00082,25,6,31,0.025025025025025023,0.006006006006006006,0.0047382379482402365,0.2650013717974883,0.05410765085286856,0.002067436831430424,60,69,72,116,101,-9
WHS-00030,25,6,31,0.025025025025025023,0.006006006006006006,0.003061013338930521,0.24857221494699602,0.030152927469830622,0.0021860656701363705,60,138,212,268,84,-78
WHS-00039,23,8,31,0.023023023023023025,0.008008008008008008,0.005042376964351408,0.25463712726001925,0.04812005062882993,0.002197467878297899,60,59,156,151,83,1
WHS-00008,23,8,31,0.023023023023023025,0.008008008008008008,0.00329427519936955,0.24353935266769858,0.04193664054539821,0.0022880719022355185,60,123,254,185,63,-63
WHS-00063,27,4,31,0.02702702702702703,0.004004004004004004,0.005222761812544101,0.2564776558271318,0.05875763111259197,0.0022936405594117283,60,52,139,97,62,8
WHS-00067,22,9,31,0.022022022022022022,0.009009009009009009,0.004350020474769294,0.2551865061753591,0.05033887791825583,0.001823036411993833,60,91,150,140,152,-31
WHS-00083,24,7,31,0.024024024024024024,0.007007007007007007,0.0044359966484820565,0.2513008759467683,0.04337455587493828,0.0022040191928112862,60,85,188,172,80,-25
WHS-00079,25,5,30,0.025025025025025023,0.005005005005005005,0.004687663013816368,0.2608135515154993,0.04640195090077053,0.0020547885663072312,70,74,104,162,104,-4
WHS-00058,23,7,30,0.023023023023023025,0.007007007007007007,0.0061606594662578,0.25381747985467584,0.03512553239306292,0.0018875566478120168,70,40,163,230,144,30
WHS-00042,22,8,30,0.022022022022022022,0.008008008008008008,0.007694662063648921,0.23711115057590165,0.019011624869306663,0.0017492502494372566,70,19,304,351,170,51
WHS-00047,22,8,30,0.022022022022022022,0.008008008008008008,0.004707932480189055,0.23830546463185817,0.03651520836455183,0.0017315154745157102,70,72,291,220,172,-2
WHS-00054,21,9,30,0.02102102102102102,0.009009009009009009,0.004091910591368769,0.2535454353960963,0.05922842259057412,0.0025681910765522255,70,99,169,92,29,-29
WHS-00078,19,11,30,0.01901901901901902,0.011011011011011011,0.006214266574284502,0.26090943885061535,0.059539475221976286,0.002027079888230467,70,38,103,89,112,32
WHS-00065,21,9,30,0.02102102102102102,0.009009009009009009,0.004787118355613058,0.25928888332980404,0.07322884188978969,0.002598268201029177,70,67,116,49,25,3
MFG-00134,18,12,30,0.018018018018018018,0.012012012012012012,0.0038661464681283807,0.21930583240842821,0.010565534714986426,0.0017294966927027466,70,103,427,432,173,-33
WHS-00004,21,9,30,0.02102102102102102,0.009009009009009009,0.005149783677723637,0.2504141403223972,0.023938408764504586,0.00124892992901051,70,56,197,309,318,14
WHS-00007,24,6,30,0.024024024024024024,0.006006006006006006,0.005737328928920193,0.2655964347581114,0.04987318253082008,0.002066446098857444,70,46,68,143,102,24
WHS-00036,20,9,29,0.02002002002002002,0.009009009009009009,0.003014507379993717,0.24404184101570622,0.022307242420489096,0.0016346927498654832,80,141,250,324,199,-61
MFG-00147,13,16,29,0.013013013013013013,0.016016016016016016,0.007653324694324923,0.2520147988897989,0.07900026461341136,0.003344196259619596,80,20,178,33,5,60
MFG-00025,15,14,29,0.015015015015015015,0.014014014014014014,0.002407061862745043,0.18779403907744738,0.008316471284768522,0.0011698559788361563,80,184,536,455,347,-104
MFG-00133,15,14,29,0.015015015015015015,0.014014014014014014,0.0015062260163780307,0.01670636153394774,2.467669891947944e-46,0.000938281735532562,80,277,563,566,432,-197
WHS-00028,22,7,29,0.022022022022022022,0.007007007007007007,0.003707248642383879,0.25255290878066683,0.0027527871820172004,0.000500533977839567,80,106,172,521,591,-26
WHS-00093,20,9,29,0.02002002002002002,0.009009009009009009,0.006187466653049031,0.24130352726068469,0.016572550127869172,0.0015903807379996858,80,39,270,377,209,41
MFG-00112,21,8,29,0.02102102102102102,0.008008008008008008,0.0031313100476479494,0.23782629814801398,0.013237347858517831,0.0015416666699526846,80,133,299,408,228,-53
WHS-00014,24,5,29,0.024024024024024024,0.005005005005005005,0.0035832874158065876,0.2671964132807506,0.05902428697413629,0.002508844358450042,80,112,58,95,33,-32
MFG-00058,17,12,29,0.017017017017017015,0.012012012012012012,0.0049269778721821875,0.24089398291706507,0.03628347876518714,0.002037450229744673,80,65,273,223,105,15
WHS-00097,21,8,29,0.02102102102102102,0.008008008008008008,0.005487439639650237,0.24564682370151392,0.028015374942929567,0.002075072336904619,80,49,235,278,100,31
WHS-00033,25,4,29,0.025025025025025023,0.004004004004004004,0.0046547305528183355,0.24753180107208708,0.026523513783272116,0.0023116023677626197,80,77,220,291,58,3
WHS-00016,16,13,29,0.016016016016016016,0.013013013013013013,0.007385971251172614,0.23750792291622277,0.030626832079724903,0.0016004288218876934,80,24,301,264,205,56
WHS-00022,19,9,28,0.01901901901901902,0.009009009009009009,0.0031707997073438044,0.24684301692997346,0.016895465098240393,0.0011673169231202806,92,130,228,372,350,-38
MFG-00065,15,13,28,0.015015015015015015,0.013013013013013013,0.0016714787474506987,0.017081597726759018,1.102583566645288e-46,0.0011627079844849278,92,260,562,580,352,-168
MFG-00072,17,11,28,0.017017017017017015,0.011011011011011011,0.001344515329040779,0.19539473394098944,0.0027216110385885213,0.001071356999466287,92,304,516,522,384,-212
WHS-00090,20,8,28,0.02002002002002002,0.008008008008008008,0.002965437581526466,0.2521043245732411,0.04781207727040046,0.0020095891710651776,92,146,176,155,117,-54
MFG-00073,13,15,28,0.013013013013013013,0.015015015015015015,0.003238537930047491,0.20588154153573357,0.024647826713667283,0.00139434252911857,92,125,479,305,275,-33
MFG-00075,17,11,28,0.017017017017017015,0.011011011011011011,0.0029019296753525227,0.21498748066454823,0.00451973794922353,0.0011782570780672756,92,149,450,499,344,-57
MFG-00124,15,13,28,0.015015015015015015,0.013013013013013013,0.002624088934789339,0.19242778570327376,0.011216348877292824,0.0010925988925211646,92,174,525,424,378,-82
MFG-00144,14,13,27,0.014014014014014014,0.013013013013013013,0.004648374249514256,0.21863021370107014,0.03237550364965278,0.001908010939635402,99,78,432,256,138,21
MFG-00145,19,8,27,0.01901901901901902,0.008008008008008008,0.00306585830468356,0.22458027647901063,0.018528894990403215,0.001542990831905762,99,137,395,357,227,-38
MFG-00022,17,10,27,0.017017017017017015,0.01001001001001001,0.0019272629434704477,0.19443114347223936,0.011353740673124977,0.0014580158430835067,99,234,520,422,252,-135
MFG-00130,15,12,27,0.015015015015015015,0.012012012012012012,0.005082999099136964,0.23585034020394602,0.02028787353220046,0.0017575638239545755,99,58,315,343,168,41
MFG-00010,17,10,27,0.017017017017017015,0.01001001001001001,0.0036166059832839935,0.20305398388374069,0.0013448599753614014,0.0012306655809257655,99,110,489,534,325,-11
MFG-00046,15,12,27,0.015015015015015015,0.012012012012012012,0.001611761765636169,0.18764507500625954,0.0028118392823099345,0.0009778712780317,99,265,537,520,416,-166
WHS-00032,22,5,27,0.022022022022022022,0.005005005005005005,0.0027446551050777884,0.24270645474475844,0.011053453092614803,0.0009103635261779517,99,166,260,427,443,-67
MFG-00097,16,11,27,0.016016016016016016,0.011011011011011011,0.0027332391293075375,0.18724899041521734,0.0071111855913238075,0.001252886810731801,99,168,538,472,316,-69
MFG-00123,14,13,27,0.014014014014014014,0.013013013013013013,0.0015610812434177354,0.015765765765765768,1.5750121213395792e-46,0.001278930158006828,99,270,565,571,310,-171
DST-00060,8,19,27,0.008008008008008008,0.01901901901901902,0.0053438812258171774,0.23608571978498794,0.03240400918430576,0.0014505058978493417,99,50,311,255,256,49
MFG-00056,16,11,27,0.016016016016016016,0.011011011011011011,0.0036559289782696867,0.2305632468075613,0.020044461470394653,0.001469705763691002,99,108,352,345,248,-9
WHS-00009,20,7,27,0.02002002002002002,0.007007007007007007,0.004724416899031706,0.24471505988747366,0.016646507358842925,0.001512181219320021,99,70,244,376,234,29
MFG-00148,19,8,27,0.01901901901901902,0.008008008008008008,0.0037576112494659706,0.22601072409989606,0.02043632843809567,0.0015819568487633693,99,105,385,339,213,-6
WHS-00034,16,11,27,0.016016016016016016,0.011011011011011011,0.007331940306197615,0.23538098629309245,0.03993111610091914,0.001158910256654461,99,25,318,196,353,74
WHS-00029,22,5,27,0.022022022022022022,0.005005005005005005,0.004679362825763058,0.2497092447831364,0.0015798203156416279,0.0008419261265704904,99,75,201,532,470,24
MFG-00125,13,14,27,0.013013013013013013,0.014014014014014014,0.004404876080738324,0.2241546663530239,0.017512411772266506,0.0012462314625758513,99,88,396,366,320,11
MFG-00143,13,13,26,0.013013013013013013,0.013013013013013013,0.003497351967465408,0.22101328983920077,0.01678052763269988,0.0010442296582155914,115,117,414,373,392,-2
MFG-00104,13,13,26,0.013013013013013013,0.013013013013013013,0.0035327362512530044,0.19571805672191772,9.536921882439783e-06,0.0011199756825330588,115,114,513,557,371,1
MFG-00021,12,14,26,0.012012012012012012,0.014014014014014014,0.0026630993230411185,0.20811544682512423,0.004729611188885492,0.001164519706964429,115,172,467,495,351,-57
WHS-00084,19,7,26,0.01901901901901902,0.007007007007007007,0.0045259362878925504,0.2570350140071256,0.011064857088263243,0.0007057974499781663,115,82,135,426,522,33
MFG-00120,11,15,26,0.011011011011011011,0.015015015015015015,0.003610514172015019,0.21836113036113036,0.02037964053564908,0.0012229386767410011,115,111,436,341,329,4
MFG-00017,13,13,26,0.013013013013013013,0.013013013013013013,0.0023820629540764492,0.2219117178466772,0.017520404293756234,0.001530677286290915,115,186,408,365,231,-71
MFG-00006,14,12,26,0.014014014014014014,0.012012012012012012,0.0014089078350484406,0.01614948281614948,1.3387041196638587e-46,0.001167398101630216,115,294,564,575,349,-179
MFG-00119,12,14,26,0.012012012012012012,0.014014014014014014,0.0036388462273788382,0.23184373527398686,0.033159362307815646,0.0013993314370608755,115,109,342,247,273,6
MFG-00079,13,13,26,0.013013013013013013,0.013013013013013013,0.004668744773401343,0.22944509333128793,0.026918400670288143,0.0014595422826648918,115,76,360,285,250,39
WHS-00074,20,6,26,0.02002002002002002,0.006006006006006006,0.0037870663467915434,0.25381747985467584,0.03915164025224419,0.0016854795244670817,115,104,163,204,181,11
MFG-00026,17,9,26,0.017017017017017015,0.009009009009009009,0.003222677984573818,0.23131475673848553,0.0185568873218098,0.0015701854698857939,115,128,347,353,217,-13
MFG-00047,15,11,26,0.015015015015015015,0.011011011011011011,0.0018878120265087917,0.19501887157836595,0.00047746078353657343,0.0009135382082239144,115,242,519,550,442,-127
WHS-00021,21,5,26,0.02102102102102102,0.005005005005005005,0.005999228421065278,0.24761816946045834,0.021605901407366762,0.0012300516666695605,115,43,219,332,326,72
WHS-00001,15,11,26,0.015015015015015015,0.011011011011011011,0.004547260622521735,0.2285583490092347,0.010832081499915675,0.0009773819270529605,115,80,364,431,417,35
MFG-00057,11,15,26,0.011011011011011011,0.015015015015015015,0.002073114238803993,0.1919593382942044,0.0003382149948795356,0.0007610196468997021,115,216,527,551,503,-101
MFG-00042,18,7,25,0.018018018018018018,0.007007007007007007,0.002832721781057087,0.2354590821744106,0.02527260180695559,0.0013084389831979112,130,159,317,300,299,-29
MFG-00004,8,17,25,0.008008008008008008,0.017017017017017015,0.002097118822621172,0.20375356694621696,0.004571175242251298,0.0008545685324537816,130,215,487,496,464,-85
MFG-00135,15,10,25,0.015015015015015015,0.01001001001001001,0.001794424650860718,0.1881924353417326,0.00027731203228787354,0.00042584785483921057,130,248,535,555,643,-118
MFG-00132,13,12,25,0.013013013013013013,0.012012012012012012,0.0030838612007290656,0.22900086275368622,0.005863849518426991,0.0010163831518108235,130,136,362,484,403,-6
DST-00082,8,17,25,0.008008008008008008,0.017017017017017015,0.003884968523706523,0.24539200334497707,0.059450020870026356,0.0016306090870172102,130,102,237,91,202,28
MFG-00098,14,11,25,0.014014014014014014,0.011011011011011011,0.0029765676891014485,0.20738564397243534,0.003018648458790926,0.0009581930875243163,130,143,473,517,427,-13
WHS-00011,24,1,25,0.024024024024024024,0.001001001001001001,0.0014379417536940398,0.2668949506106332,0.05875974097474354,0.002685870300523269,130,290,59,96,20,-160
MFG-00136,14,11,25,0.014014014014014014,0.011011011011011011,0.001312362477940085,0.014742014742014743,1.117453357393401e-46,0.0010811221298580589,130,308,569,579,381,-178
WHS-00023,17,8,25,0.017017017017017015,0.008008008008008008,0.006015556212783283,0.24488394536703714,0.03715974511047456,0.0014741604169183952,130,42,243,216,245,88
MFG-00016,15,10,25,0.015015015015015015,0.01001001001001001,0.0034406329798480195,0.2209444812184538,0.013784355088212765,0.0015955409126722044,130,118,417,401,207,12
MFG-00087,16,9,25,0.016016016016016016,0.009009009009009009,0.0019217645268341322,0.19990807709117567,0.007626396940064616,0.0013399337578907894,130,235,500,464,290,-105
MFG-00055,15,10,25,0.015015015015015015,0.01001001001001001,0.0007068612613683348,0.20109766893558337,0.01260611164257968,0.0013477642865137422,130,379,494,414,289,-249
MFG-00003,13,12,25,0.013013013013013013,0.012012012012012012,0.003410579649914395,0.2329854476932612,0.05058381999674946,0.001630942823106461,130,121,337,139,201,9
WHS-00010,14,11,25,0.014014014014014014,0.011011011011011011,0.004487545444904304,0.22731379682052325,0.036346953940940924,0.0013555358364482756,130,83,379,222,286,47
MFG-00002,15,10,25,0.015015015015015015,0.01001001001001001,0.003058278792767334,0.21849558918524434,0.016992427677839237,0.0011571307184218506,130,139,433,371,354,-9
MFG-00023,16,9,25,0.016016016016016016,0.009009009009009009,0.0022301309175719935,0.2182268369230239,0.009047473958652866,0.0012289871286328656,130,195,437,446,328,-65
DST-00080,8,17,25,0.008008008008008008,0.017017017017017015,0.003657686092173335,0.2497092447831364,0.03581284632165816,0.001586341390067033,130,107,201,225,212,23
MFG-00128,17,8,25,0.017017017017017015,0.008008008008008008,0.003235571462073193,0.24564682370151392,0.02338337370907055,0.001567898535924135,130,126,235,312,220,4
MFG-00014,13,12,25,0.013013013013013013,0.012012012012012012,0.0009615810883350216,0.01410105757931845,1.4656477584433625e-46,0.0008229153190665224,130,346,574,572,481,-216
MFG-00053,17,8,25,0.017017017017017015,0.008008008008008008,0.0026252374484527882,0.2372697003255345,0.025076791238561515,0.0013914543897589574,130,173,303,302,277,-43
MFG-00044,15,9,24,0.015015015015015015,0.009009009009009009,0.0022133569558414304,0.2284112242271238,0.013976146886016047,0.0014720163420289844,150,199,365,397,246,-49
WHS-00019,18,6,24,0.018018018018018018,0.006006006006006006,0.002055365975285887,0.2201221072188814,0.010925859969082416,0.001117269480896324,150,222,421,430,372,-72
MFG-00083,12,12,24,0.012012012012012012,0.012012012012012012,0.002819722684856849,0.2334452873926558,0.027636056302384117,0.0014305676979185734,150,160,331,280,264,-10
DST-00149,15,9,24,0.015015015015015015,0.009009009009009009,0.006864907541419377,0.26440896932700214,0.0627433367700236,0.002306822582946759,150,28,74,79,59,122
DST-00102,11,13,24,0.011011011011011011,0.013013013013013013,0.003013097277703228,0.2589104975095489,0.058108343780384,0.001446588846987415,150,142,117,100,257,8
DST-00166,7,17,24,0.007007007007007007,0.017017017017017015,0.0021347153937344814,0.21196943658114506,0.017135415673957207,0.0012876449445510538,150,208,457,369,305,-58
MFG-00096,15,9,24,0.015015015015015015,0.009009009009009009,0.0015555698909570923,0.19087511395203702,0.0042022842499013086,0.001374833949089703,150,272,530,503,281,-122
MFG-00084,13,11,24,0.013013013013013013,0.011011011011011011,0.006238022571630322,0.238145528078414,0.0394157667064362,0.0016574087917903622,150,37,294,201,189,113
MFG-00054,11,13,24,0.011011011011011011,0.013013013013013013,0.0032300926518259157,0.20781073899668337,0.019724990263521286,0.0010323877268273414,150,127,471,347,394,23
MFG-00100,14,10,24,0.014014014014014014,0.01001001001001001,0.0008845286233804278,0.014742014742014743,2.2694003350440975e-46,0.0009211200696092837,150,358,569,567,438,-208
WHS-00060,19,5,24,0.01901901901901902,0.005005005005005005,0.005705082884789954,0.256756032443442,0.06000247370704095,0.0019496285403197045,150,47,137,88,129,103
MFG-00011,15,9,24,0.015015015015015015,0.009009009009009009,0.002855061887533286,0.22156530554907078,0.02213357757389675,0.0014153461916608407,150,156,411,326,269,-6
MFG-00020,17,7,24,0.017017017017017015,0.007007007007007007,0.0013849905219686211,0.018958352291685625,2.89870296682867e-46,0.0010551499536149986,150,298,560,563,390,-148
MFG-00043,13,11,24,0.013013013013013013,0.011011011011011011,0.0031886394194155145,0.22900086275368622,0.017762051013145805,0.001169319934893283,150,129,362,362,348,21
MFG-00035,14,9,23,0.014014014014014014,0.009009009009009009,0.0030861254878402767,0.23822546951113582,0.02172766036097688,0.001188071489827977,164,135,293,330,338,29
MFG-00060,14,9,23,0.014014014014014014,0.009009009009009009,0.0008875285477778087,0.014464464464464465,5.192501619087431e-47,0.0008979163619407364,164,357,572,591,448,-193
MFG-00067,15,8,23,0.015015015015015015,0.008008008008008008,0.000993707750389332,0.015711363537450496,1.193983531871714e-46,0.0009842244804389372,164,343,566,578,412,-179
RET-00029,23,0,23,0.023023023023023025,0.0,0.0,0.29367753255726897,0.11606080266398444,0.003576609207771161,164,553,1,5,2,-389
WHS-00099,17,6,23,0.017017017017017015,0.006006006006006006,0.0020649766043349766,0.24146773517307712,0.026690898005971908,0.0011461435712524105,164,219,268,289,357,-55
MFG-00033,13,10,23,0.013013013013013013,0.01001001001001001,0.0027953747801120394,0.22804423961236298,0.032432635862399015,0.0014682278061533922,164,161,371,254,249,3
MFG-00146,16,7,23,0.016016016016016016,0.007007007007007007,0.0029733513472918614,0.24353935266769858,0.029368732286663434,0.001701306295077077,164,145,254,270,177,19
RET-00032,23,0,23,0.023023023023023025,0.0,0.0,0.28590579352407747,0.12843590425972679,0.0036572188615440794,164,553,3,3,1,-389
