organization_id,organization_name,organization_type,region,industry,size_category,status,created_at
RET-00098,Oconnor PLC,retailer,West,Pharmaceuticals,Enterprise,active,2024-01-01
MFG-00047,Jones PLC,manufacturer,East,Food_Beverage,Medium,active,2024-01-01
SUP-00140,Chambers and Sons,supplier,West,Automotive,Large,active,2024-01-01
DST-00172,Morris-Brewer,distributor,North,Chemicals,Large,active,2024-01-01
DST-00050,Kelly-Norman,distributor,North,Food_Beverage,Enterprise,active,2024-01-01
MFG-00071,Mcdaniel Group,manufacturer,North,Automotive,Large,active,2024-01-01
SUP-00199,Ramirez Group,supplier,Central,Textiles,Small,active,2024-01-01
WHS-00038,"Shelton, Peters and Williams",warehouse,North,Pharmaceuticals,Large,active,2024-01-01
DST-00135,"Patel, Erickson and Evans",distributor,Central,Food_Beverage,Enterprise,active,2024-01-01
RET-00052,"Griffith, Mitchell and Pugh",retailer,Central,Textiles,Large,active,2024-01-01
SUP-00060,Gomez-Jenkins,supplier,Central,Textiles,Enterprise,active,2024-01-01
MFG-00029,Harvey PLC,manufacturer,East,Chemicals,Enterprise,active,2024-01-01
SUP-00097,Wagner-King,supplier,South,Food_Beverage,Small,active,2024-01-01
MFG-00013,Robinson-Lee,manufacturer,South,Electronics,Enterprise,active,2024-01-01
RET-00125,"Adkins, Wright and Murray",retailer,Central,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00300,Harvey-Allen,supplier,West,Automotive,Enterprise,active,2024-01-01
SUP-00278,Gibson-Morris,supplier,North,Pharmaceuticals,Large,active,2024-01-01
RET-00075,"Smith, Crawford and Reed",retailer,Central,Pharmaceuticals,Medium,active,2024-01-01
DST-00152,Payne-Lowe,distributor,East,Chemicals,Small,active,2024-01-01
MFG-00140,King-York,manufacturer,Central,Textiles,Large,active,2024-01-01
LOG-00088,"Wagner, Simpson and Cohen",logistics_provider,East,Food_Beverage,Small,active,2024-01-01
DST-00121,"Khan, Pena and Ruiz",distributor,Central,Automotive,Small,active,2024-01-01
RET-00030,Pena LLC,retailer,Central,Food_Beverage,Large,active,2024-01-01
SUP-00262,"Anderson, Roberts and Gilmore",supplier,West,Electronics,Small,active,2024-01-01
DST-00129,"Mcmillan, Fischer and Gonzalez",distributor,Central,Automotive,Medium,active,2024-01-01
SUP-00024,Morales-Jones,supplier,North,Textiles,Medium,active,2024-01-01
SUP-00031,Burton Ltd,supplier,Central,Chemicals,Large,active,2024-01-01
DST-00168,Love-Garcia,distributor,South,Textiles,Large,active,2024-01-01
SUP-00011,Blair PLC,supplier,South,Automotive,Small,active,2024-01-01
SUP-00222,Harrison-Alexander,supplier,Central,Electronics,Small,active,2024-01-01
LOG-00071,Ray PLC,logistics_provider,South,Automotive,Small,active,2024-01-01
SUP-00297,Howard-Jordan,supplier,East,Food_Beverage,Large,active,2024-01-01
SUP-00055,Jones Inc,supplier,South,Textiles,Small,active,2024-01-01
DST-00093,Torres and Sons,distributor,South,Pharmaceuticals,Medium,active,2024-01-01
SUP-00210,"Wood, Tran and Cooper",supplier,North,Electronics,Medium,active,2024-01-01
DST-00155,"Evans, David and Hendrix",distributor,North,Pharmaceuticals,Enterprise,active,2024-01-01
WHS-00043,"Thomas, Ford and Brown",warehouse,Central,Automotive,Enterprise,active,2024-01-01
WHS-00013,"Brown, Mcknight and Michael",warehouse,East,Pharmaceuticals,Enterprise,active,2024-01-01
RET-00017,"Smith, Schroeder and Oconnor",retailer,North,Electronics,Enterprise,active,2024-01-01
SUP-00071,Gray Group,supplier,East,Chemicals,Enterprise,active,2024-01-01
DST-00094,Donovan-Perez,distributor,East,Electronics,Enterprise,active,2024-01-01
SUP-00108,Dickson-Brady,supplier,East,Electronics,Medium,active,2024-01-01
DST-00044,"Marshall, Dominguez and Welch",distributor,East,Pharmaceuticals,Medium,active,2024-01-01
DST-00141,"Williams, Castillo and Warren",distributor,South,Food_Beverage,Enterprise,active,2024-01-01
WHS-00092,Jacobson Inc,warehouse,Central,Textiles,Enterprise,active,2024-01-01
SUP-00293,Bright-Francis,supplier,East,Textiles,Small,active,2024-01-01
SUP-00290,"James, Stewart and Higgins",supplier,West,Chemicals,Large,active,2024-01-01
WHS-00003,"Cox, Stark and Rodriguez",warehouse,West,Chemicals,Large,active,2024-01-01
SUP-00040,"Romero, Gonzalez and Brooks",supplier,South,Chemicals,Enterprise,active,2024-01-01
DST-00140,"Patton, Parsons and Lane",distributor,West,Food_Beverage,Large,active,2024-01-01
MFG-00008,Armstrong-Andrews,manufacturer,East,Textiles,Medium,active,2024-01-01
WHS-00030,"Powers, Brennan and Sanchez",warehouse,West,Electronics,Medium,active,2024-01-01
SUP-00067,Williams PLC,supplier,Central,Pharmaceuticals,Small,active,2024-01-01
SUP-00276,"Burns, Hernandez and Ryan",supplier,North,Food_Beverage,Enterprise,active,2024-01-01
SUP-00068,Novak and Sons,supplier,North,Chemicals,Small,active,2024-01-01
MFG-00019,Buchanan LLC,manufacturer,West,Pharmaceuticals,Medium,active,2024-01-01
DST-00099,"Morgan, Bradshaw and Williams",distributor,West,Electronics,Medium,active,2024-01-01
RET-00149,"Robinson, Huang and Osborne",retailer,South,Chemicals,Large,active,2024-01-01
WHS-00065,"Pena, Cohen and Scott",warehouse,East,Automotive,Medium,active,2024-01-01
LOG-00004,Peterson PLC,logistics_provider,East,Food_Beverage,Medium,active,2024-01-01
MFG-00028,Rodriguez-Hall,manufacturer,South,Food_Beverage,Small,active,2024-01-01
MFG-00083,"Austin, Day and Johnson",manufacturer,Central,Food_Beverage,Large,active,2024-01-01
DST-00002,Stanley PLC,distributor,East,Automotive,Large,active,2024-01-01
DST-00073,Green LLC,distributor,South,Textiles,Small,active,2024-01-01
SUP-00219,Williams-Brown,supplier,West,Chemicals,Medium,active,2024-01-01
LOG-00038,Benton Group,logistics_provider,North,Chemicals,Medium,active,2024-01-01
MFG-00137,Ortiz-Morgan,manufacturer,North,Electronics,Enterprise,active,2024-01-01
LOG-00015,Miller Group,logistics_provider,West,Chemicals,Enterprise,active,2024-01-01
SUP-00089,Suarez LLC,supplier,West,Automotive,Enterprise,active,2024-01-01
SUP-00064,"West, Henderson and Ramirez",supplier,North,Pharmaceuticals,Medium,active,2024-01-01
LOG-00077,"Mccarthy, Evans and Mendez",logistics_provider,West,Pharmaceuticals,Large,active,2024-01-01
WHS-00067,Murray-Oconnor,warehouse,East,Textiles,Large,active,2024-01-01
MFG-00052,Guerrero Inc,manufacturer,West,Textiles,Medium,active,2024-01-01
RET-00087,Tran Ltd,retailer,South,Chemicals,Small,active,2024-01-01
SUP-00257,Cordova Group,supplier,Central,Automotive,Medium,active,2024-01-01
DST-00186,Thompson Ltd,distributor,West,Food_Beverage,Large,active,2024-01-01
DST-00195,Sullivan PLC,distributor,East,Textiles,Small,active,2024-01-01
DST-00105,Evans-Jones,distributor,North,Chemicals,Large,active,2024-01-01
RET-00110,Bates-Anderson,retailer,West,Textiles,Enterprise,active,2024-01-01
SUP-00169,"Yates, Ramsey and Pittman",supplier,West,Textiles,Small,active,2024-01-01
RET-00068,Herrera Group,retailer,West,Chemicals,Medium,active,2024-01-01
DST-00079,"Daniels, Vance and York",distributor,West,Pharmaceuticals,Medium,active,2024-01-01
LOG-00074,Rose-Fowler,logistics_provider,North,Automotive,Enterprise,active,2024-01-01
RET-00136,Reyes Group,retailer,West,Pharmaceuticals,Small,active,2024-01-01
LOG-00067,Foster-Mclaughlin,logistics_provider,South,Food_Beverage,Small,active,2024-01-01
SUP-00087,"Ferrell, Jones and Lewis",supplier,South,Food_Beverage,Small,active,2024-01-01
MFG-00133,Hayes LLC,manufacturer,West,Food_Beverage,Small,active,2024-01-01
SUP-00185,Rodriguez-Johnson,supplier,East,Automotive,Small,active,2024-01-01
RET-00129,Aguilar LLC,retailer,East,Pharmaceuticals,Medium,active,2024-01-01
DST-00085,Salazar Inc,distributor,West,Electronics,Enterprise,active,2024-01-01
SUP-00295,"Brennan, Wallace and Benson",supplier,East,Pharmaceuticals,Enterprise,active,2024-01-01
RET-00043,Jones PLC,retailer,West,Chemicals,Medium,active,2024-01-01
MFG-00126,"Brown, Romero and Collins",manufacturer,South,Automotive,Large,active,2024-01-01
WHS-00064,Hudson-Sanchez,warehouse,Central,Automotive,Medium,active,2024-01-01
SUP-00261,Wolf-Harris,supplier,South,Electronics,Large,active,2024-01-01
SUP-00238,"Hall, Baker and Moody",supplier,Central,Electronics,Medium,active,2024-01-01
DST-00110,Anderson-Wood,distributor,South,Pharmaceuticals,Enterprise,active,2024-01-01
DST-00134,"Kirby, Wheeler and Romero",distributor,North,Automotive,Large,active,2024-01-01
MFG-00146,"Osborn, Gaines and Davis",manufacturer,South,Electronics,Large,active,2024-01-01
RET-00018,"Stanton, Reid and Terry",retailer,West,Food_Beverage,Enterprise,active,2024-01-01
LOG-00051,Garcia and Sons,logistics_provider,South,Chemicals,Small,active,2024-01-01
DST-00150,Fox-Edwards,distributor,East,Food_Beverage,Small,active,2024-01-01
LOG-00100,Gonzales Inc,logistics_provider,North,Electronics,Enterprise,active,2024-01-01
SUP-00266,Gay Inc,supplier,North,Pharmaceuticals,Small,active,2024-01-01
RET-00146,Castillo-Harrington,retailer,East,Electronics,Enterprise,active,2024-01-01
DST-00080,"Mckinney, Graves and Thompson",distributor,South,Pharmaceuticals,Small,active,2024-01-01
SUP-00056,Jones-Young,supplier,North,Chemicals,Enterprise,active,2024-01-01
SUP-00121,White-Estes,supplier,South,Chemicals,Enterprise,active,2024-01-01
SUP-00216,"Carlson, Hooper and Wall",supplier,South,Automotive,Small,active,2024-01-01
SUP-00026,Wilkerson-Day,supplier,South,Food_Beverage,Enterprise,active,2024-01-01
SUP-00073,Henderson-Bernard,supplier,Central,Textiles,Enterprise,active,2024-01-01
SUP-00045,"Arroyo, Miller and Tucker",supplier,East,Electronics,Large,active,2024-01-01
SUP-00248,"Matthews, Smith and Hubbard",supplier,East,Automotive,Large,active,2024-01-01
WHS-00072,Duran Group,warehouse,East,Chemicals,Enterprise,active,2024-01-01
SUP-00282,Hughes-Alvarado,supplier,West,Electronics,Medium,active,2024-01-01
RET-00044,Bishop and Sons,retailer,West,Automotive,Large,active,2024-01-01
RET-00065,"Wang, Henderson and Morales",retailer,East,Electronics,Enterprise,active,2024-01-01
LOG-00061,"Chavez, Jones and Williams",logistics_provider,West,Textiles,Enterprise,active,2024-01-01
SUP-00245,"Fernandez, Kim and George",supplier,West,Textiles,Large,active,2024-01-01
LOG-00073,Wilson-Lambert,logistics_provider,Central,Chemicals,Medium,active,2024-01-01
MFG-00022,Brock-Mcdonald,manufacturer,North,Automotive,Large,active,2024-01-01
DST-00194,"Young, Contreras and Marshall",distributor,Central,Automotive,Medium,active,2024-01-01
SUP-00159,Mccarthy Inc,supplier,West,Textiles,Small,active,2024-01-01
RET-00128,Parks-Pace,retailer,Central,Pharmaceuticals,Enterprise,active,2024-01-01
MFG-00130,Ford-Spencer,manufacturer,Central,Chemicals,Medium,active,2024-01-01
RET-00092,Finley Inc,retailer,West,Automotive,Enterprise,active,2024-01-01
DST-00013,"Taylor, Wright and Davidson",distributor,East,Food_Beverage,Enterprise,active,2024-01-01
MFG-00010,Smith-Grimes,manufacturer,North,Electronics,Medium,active,2024-01-01
WHS-00048,"Calderon, Williams and Bennett",warehouse,East,Chemicals,Medium,active,2024-01-01
SUP-00061,"Brown, Valdez and Lucas",supplier,South,Textiles,Medium,active,2024-01-01
RET-00035,Lewis Inc,retailer,Central,Textiles,Enterprise,active,2024-01-01
DST-00146,Shaw-Carr,distributor,North,Electronics,Large,active,2024-01-01
LOG-00018,"Davis, George and Nguyen",logistics_provider,Central,Food_Beverage,Large,active,2024-01-01
DST-00200,Todd-Pham,distributor,North,Electronics,Large,active,2024-01-01
WHS-00001,Gill Ltd,warehouse,South,Textiles,Enterprise,active,2024-01-01
RET-00016,Gibson-Freeman,retailer,South,Automotive,Small,active,2024-01-01
WHS-00019,Miller-Brandt,warehouse,South,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00299,"Sparks, Jackson and Miller",supplier,South,Automotive,Enterprise,active,2024-01-01
WHS-00040,"Flores, Butler and Hernandez",warehouse,South,Textiles,Medium,active,2024-01-01
MFG-00015,"Becker, Taylor and Davis",manufacturer,West,Chemicals,Large,active,2024-01-01
MFG-00011,"Beltran, Lozano and Mcgee",manufacturer,South,Automotive,Small,active,2024-01-01
MFG-00062,Lam LLC,manufacturer,East,Electronics,Enterprise,active,2024-01-01
DST-00030,Barnes PLC,distributor,North,Automotive,Enterprise,active,2024-01-01
SUP-00111,Patton-Jenkins,supplier,Central,Chemicals,Small,active,2024-01-01
RET-00140,Holland Group,retailer,South,Food_Beverage,Enterprise,active,2024-01-01
DST-00037,"Hartman, Romero and Smith",distributor,Central,Electronics,Enterprise,active,2024-01-01
MFG-00064,"Kelley, Nguyen and Vang",manufacturer,Central,Chemicals,Enterprise,active,2024-01-01
SUP-00255,Roberts-Landry,supplier,East,Electronics,Medium,active,2024-01-01
SUP-00260,Dean-Jimenez,supplier,West,Food_Beverage,Large,active,2024-01-01
LOG-00053,Griffin Group,logistics_provider,Central,Pharmaceuticals,Small,active,2024-01-01
WHS-00028,Allen Inc,warehouse,East,Chemicals,Large,active,2024-01-01
DST-00045,Brown Group,distributor,Central,Pharmaceuticals,Small,active,2024-01-01
WHS-00021,"Long, Anderson and Irwin",warehouse,East,Food_Beverage,Small,active,2024-01-01
MFG-00078,Bell-Lane,manufacturer,South,Pharmaceuticals,Enterprise,active,2024-01-01
DST-00077,Osborn-Cochran,distributor,North,Automotive,Large,active,2024-01-01
LOG-00096,Weaver-Sherman,logistics_provider,West,Pharmaceuticals,Large,active,2024-01-01
SUP-00138,"Jackson, Miller and Robertson",supplier,East,Automotive,Medium,active,2024-01-01
MFG-00056,Strickland-Palmer,manufacturer,North,Food_Beverage,Large,active,2024-01-01
MFG-00066,"Wilson, Pena and Rich",manufacturer,South,Chemicals,Medium,active,2024-01-01
RET-00093,Cline-Ayala,retailer,West,Chemicals,Medium,active,2024-01-01
WHS-00100,"Allen, Davenport and Price",warehouse,West,Textiles,Large,active,2024-01-01
RET-00099,Hernandez Group,retailer,East,Food_Beverage,Small,active,2024-01-01
LOG-00080,Brooks and Sons,logistics_provider,West,Pharmaceuticals,Medium,active,2024-01-01
WHS-00007,"Burns, Nolan and Griffin",warehouse,South,Food_Beverage,Enterprise,active,2024-01-01
SUP-00200,Christensen PLC,supplier,West,Textiles,Small,active,2024-01-01
SUP-00214,"Tapia, Vaughn and Lee",supplier,West,Chemicals,Large,active,2024-01-01
MFG-00109,Jackson-Meza,manufacturer,South,Pharmaceuticals,Large,active,2024-01-01
MFG-00033,Torres Group,manufacturer,North,Food_Beverage,Small,active,2024-01-01
SUP-00209,Holt-Torres,supplier,South,Chemicals,Small,active,2024-01-01
DST-00164,"Nelson, Hoffman and Nelson",distributor,South,Electronics,Small,active,2024-01-01
SUP-00079,Jones Inc,supplier,East,Electronics,Medium,active,2024-01-01
SUP-00030,"Snyder, Campos and Callahan",supplier,East,Electronics,Medium,active,2024-01-01
DST-00086,Parker Ltd,distributor,East,Chemicals,Medium,active,2024-01-01
WHS-00046,Rivera Inc,warehouse,North,Food_Beverage,Large,active,2024-01-01
DST-00108,Edwards Ltd,distributor,West,Food_Beverage,Small,active,2024-01-01
LOG-00087,Lee Group,logistics_provider,East,Pharmaceuticals,Large,active,2024-01-01
DST-00147,Salas-Fitzgerald,distributor,East,Automotive,Enterprise,active,2024-01-01
SUP-00166,Medina-Navarro,supplier,North,Pharmaceuticals,Large,active,2024-01-01
RET-00069,"Walters, Davenport and Becker",retailer,East,Automotive,Medium,active,2024-01-01
DST-00046,Carter Inc,distributor,South,Chemicals,Enterprise,active,2024-01-01
LOG-00075,"Price, Long and Wilson",logistics_provider,Central,Textiles,Small,active,2024-01-01
SUP-00066,Morton-Chase,supplier,Central,Textiles,Medium,active,2024-01-01
SUP-00142,Riggs PLC,supplier,Central,Food_Beverage,Large,active,2024-01-01
RET-00076,"Logan, Le and Jackson",retailer,Central,Electronics,Enterprise,active,2024-01-01
LOG-00078,Powers LLC,logistics_provider,East,Electronics,Medium,active,2024-01-01
WHS-00006,Wilson-Harris,warehouse,North,Chemicals,Small,active,2024-01-01
MFG-00032,"Turner, Ortiz and Taylor",manufacturer,Central,Textiles,Large,active,2024-01-01
WHS-00015,Mitchell and Sons,warehouse,South,Pharmaceuticals,Small,active,2024-01-01
SUP-00250,Ruiz Ltd,supplier,East,Electronics,Medium,active,2024-01-01
RET-00058,"Wheeler, Rice and Levine",retailer,West,Pharmaceuticals,Small,active,2024-01-01
WHS-00059,"Harrison, Franco and Rocha",warehouse,West,Textiles,Enterprise,active,2024-01-01
MFG-00006,Bruce-Gonzalez,manufacturer,Central,Automotive,Enterprise,active,2024-01-01
WHS-00085,Branch and Sons,warehouse,Central,Chemicals,Small,active,2024-01-01
RET-00126,Martinez Inc,retailer,West,Pharmaceuticals,Enterprise,active,2024-01-01
SUP-00050,"Harris, Collins and Carney",supplier,South,Automotive,Medium,active,2024-01-01
RET-00047,Miller Inc,retailer,East,Electronics,Medium,active,2024-01-01
SUP-00003,"Mcclain, Miller and Henderson",supplier,North,Chemicals,Small,active,2024-01-01
DST-00095,"Jacobson, Singleton and King",distributor,East,Textiles,Small,active,2024-01-01
MFG-00051,Fernandez and Sons,manufacturer,Central,Food_Beverage,Medium,active,2024-01-01
RET-00055,Adkins LLC,retailer,Central,Pharmaceuticals,Medium,active,2024-01-01
DST-00087,"Mendoza, Jenkins and Ortiz",distributor,West,Textiles,Large,active,2024-01-01
MFG-00045,"Harper, Smith and Buchanan",manufacturer,North,Electronics,Large,active,2024-01-01
RET-00145,Mayo Ltd,retailer,West,Electronics,Medium,active,2024-01-01
DST-00032,Carlson-Smith,distributor,East,Electronics,Enterprise,active,2024-01-01
DST-00126,"Cole, Pierce and Bryan",distributor,East,Pharmaceuticals,Small,active,2024-01-01
SUP-00034,Frazier Inc,supplier,South,Automotive,Medium,active,2024-01-01
SUP-00032,Carlson-Cruz,supplier,South,Chemicals,Enterprise,active,2024-01-01
SUP-00232,"Choi, Garcia and Farmer",supplier,East,Food_Beverage,Medium,active,2024-01-01
RET-00114,Taylor PLC,retailer,East,Automotive,Medium,active,2024-01-01
SUP-00193,Short-Garcia,supplier,North,Automotive,Large,active,2024-01-01
MFG-00034,Davis PLC,manufacturer,Central,Food_Beverage,Small,active,2024-01-01
SUP-00004,Davis and Sons,supplier,Central,Food_Beverage,Small,active,2024-01-01
SUP-00205,Miller Ltd,supplier,East,Automotive,Enterprise,active,2024-01-01
DST-00065,"Gregory, Kim and Martinez",distributor,East,Automotive,Large,active,2024-01-01
LOG-00050,Sheppard-Jordan,logistics_provider,Central,Chemicals,Small,active,2024-01-01
MFG-00007,Castaneda-Rodriguez,manufacturer,West,Electronics,Medium,active,2024-01-01
SUP-00110,Johnson-Doyle,supplier,West,Textiles,Large,active,2024-01-01
MFG-00131,"Huang, Cole and Pacheco",manufacturer,West,Food_Beverage,Medium,active,2024-01-01
SUP-00078,Yu Inc,supplier,North,Electronics,Enterprise,active,2024-01-01
SUP-00085,"Evans, Stewart and Walton",supplier,North,Pharmaceuticals,Medium,active,2024-01-01
SUP-00287,"Booker, Jones and Harrington",supplier,East,Chemicals,Enterprise,active,2024-01-01
SUP-00083,Donovan-Harris,supplier,North,Food_Beverage,Small,active,2024-01-01
RET-00142,Ramirez and Sons,retailer,Central,Electronics,Large,active,2024-01-01
LOG-00040,Fuentes Group,logistics_provider,Central,Food_Beverage,Medium,active,2024-01-01
RET-00045,Bell-Lewis,retailer,North,Electronics,Small,active,2024-01-01
MFG-00099,"Brown, Harris and Dougherty",manufacturer,East,Textiles,Large,active,2024-01-01
MFG-00024,"Ramsey, Whitney and Coffey",manufacturer,South,Food_Beverage,Enterprise,active,2024-01-01
DST-00070,"Richardson, Edwards and Ramirez",distributor,East,Automotive,Medium,active,2024-01-01
RET-00067,Miller-Mccall,retailer,East,Food_Beverage,Large,active,2024-01-01
RET-00073,Parker Ltd,retailer,East,Food_Beverage,Large,active,2024-01-01
SUP-00006,"Gardner, Robinson and Lawrence",supplier,South,Textiles,Small,active,2024-01-01
WHS-00082,"Hernandez, Lee and Fox",warehouse,West,Chemicals,Medium,active,2024-01-01
DST-00016,Cole-Palmer,distributor,Central,Electronics,Large,active,2024-01-01
SUP-00098,Davis Group,supplier,Central,Pharmaceuticals,Small,active,2024-01-01
SUP-00267,Valentine-Holland,supplier,Central,Food_Beverage,Medium,active,2024-01-01
MFG-00058,"Williams, Logan and Camacho",manufacturer,East,Food_Beverage,Large,active,2024-01-01
RET-00019,Flynn Group,retailer,North,Chemicals,Small,active,2024-01-01
LOG-00049,"Terrell, Byrd and Ross",logistics_provider,Central,Electronics,Enterprise,active,2024-01-01
MFG-00081,"Richardson, Farmer and Andrews",manufacturer,Central,Electronics,Enterprise,active,2024-01-01
DST-00182,"Mcdonald, Lee and Rodriguez",distributor,East,Food_Beverage,Enterprise,active,2024-01-01
MFG-00082,Bruce-Villegas,manufacturer,East,Chemicals,Large,active,2024-01-01
DST-00041,"Fuller, Ingram and Moss",distributor,Central,Textiles,Medium,active,2024-01-01
SUP-00119,May-Ross,supplier,East,Electronics,Small,active,2024-01-01
RET-00051,Wright PLC,retailer,East,Textiles,Small,active,2024-01-01
SUP-00251,Moon-White,supplier,South,Pharmaceuticals,Enterprise,active,2024-01-01
DST-00074,"Griffin, Davies and Mitchell",distributor,East,Textiles,Enterprise,active,2024-01-01
SUP-00010,Abbott-Munoz,supplier,East,Automotive,Medium,active,2024-01-01
SUP-00197,Marshall-Petersen,supplier,West,Automotive,Enterprise,active,2024-01-01
DST-00154,Lee-Wright,distributor,East,Textiles,Medium,active,2024-01-01
SUP-00082,Sandoval-Cunningham,supplier,East,Food_Beverage,Medium,active,2024-01-01
LOG-00034,Bennett-Velasquez,logistics_provider,West,Electronics,Large,active,2024-01-01
DST-00138,Robles-Swanson,distributor,East,Automotive,Small,active,2024-01-01
LOG-00048,"Ortega, Jackson and Salazar",logistics_provider,South,Electronics,Small,active,2024-01-01
SUP-00240,"Walker, Hernandez and Baker",supplier,West,Textiles,Medium,active,2024-01-01
SUP-00291,Brennan-Johnson,supplier,Central,Automotive,Small,active,2024-01-01
SUP-00212,King-Martinez,supplier,South,Pharmaceuticals,Enterprise,active,2024-01-01
WHS-00068,Jackson-Cortez,warehouse,East,Electronics,Enterprise,active,2024-01-01
MFG-00060,Boone-Simmons,manufacturer,North,Pharmaceuticals,Enterprise,active,2024-01-01
MFG-00150,Jones Inc,manufacturer,Central,Chemicals,Large,active,2024-01-01
SUP-00228,"Duran, Obrien and Gibbs",supplier,West,Pharmaceuticals,Large,active,2024-01-01
RET-00101,"Franco, Wiley and Tapia",retailer,East,Electronics,Large,active,2024-01-01
RET-00097,Vargas-Snyder,retailer,East,Automotive,Large,active,2024-01-01
LOG-00047,Rodriguez and Sons,logistics_provider,Central,Electronics,Medium,active,2024-01-01
DST-00052,Paul-Kline,distributor,East,Textiles,Small,active,2024-01-01
DST-00015,"Rosales, Mitchell and Hines",distributor,West,Automotive,Medium,active,2024-01-01
MFG-00063,"Hernandez, Martinez and Weber",manufacturer,East,Electronics,Small,active,2024-01-01
DST-00019,Brown-Shaw,distributor,North,Pharmaceuticals,Enterprise,active,2024-01-01
RET-00086,Mora-White,retailer,North,Pharmaceuticals,Large,active,2024-01-01
MFG-00129,Gilbert PLC,manufacturer,North,Chemicals,Small,active,2024-01-01
SUP-00008,"Henderson, Ramirez and Lewis",supplier,South,Food_Beverage,Large,active,2024-01-01
SUP-00156,Hill Inc,supplier,Central,Pharmaceuticals,Medium,active,2024-01-01
DST-00092,"Bartlett, Brown and Martinez",distributor,Central,Textiles,Enterprise,active,2024-01-01
MFG-00141,"Marks, Cook and Aguilar",manufacturer,North,Food_Beverage,Large,active,2024-01-01
DST-00033,"Andrews, Higgins and Carter",distributor,North,Automotive,Medium,active,2024-01-01
MFG-00123,"Downs, Morris and Maddox",manufacturer,West,Chemicals,Enterprise,active,2024-01-01
LOG-00029,Alexander-Jordan,logistics_provider,North,Food_Beverage,Large,active,2024-01-01
RET-00100,Hall LLC,retailer,West,Chemicals,Enterprise,active,2024-01-01
MFG-00035,Price LLC,manufacturer,South,Food_Beverage,Medium,active,2024-01-01
DST-00127,"Becker, Wilson and Hester",distributor,Central,Chemicals,Large,active,2024-01-01
RET-00085,Williams LLC,retailer,Central,Textiles,Small,active,2024-01-01
DST-00118,Landry PLC,distributor,North,Textiles,Large,active,2024-01-01
DST-00145,Hernandez-Vaughn,distributor,Central,Automotive,Large,active,2024-01-01
DST-00081,Hicks-Martinez,distributor,East,Electronics,Small,active,2024-01-01
DST-00132,"Barry, Taylor and Velazquez",distributor,West,Electronics,Large,active,2024-01-01
WHS-00058,Owens-Lang,warehouse,Central,Pharmaceuticals,Large,active,2024-01-01
MFG-00149,Lee-Cooke,manufacturer,West,Textiles,Small,active,2024-01-01
DST-00004,White Ltd,distributor,Central,Chemicals,Enterprise,active,2024-01-01
SUP-00229,Rowe Group,supplier,Central,Textiles,Enterprise,active,2024-01-01
